,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,49,31,19,25,False,Bordeaux,124
1,2021-10-10,50,29,18,24,False,Bordeaux,121
2,2021-10-17,52,31,20,25,False,Bordeaux,128
3,2021-10-24,53,30,17,26,False,Bordeaux,126
4,2021-10-31,63,41,25,32,False,Bordeaux,161
5,2021-11-07,63,37,20,29,False,Bordeaux,149
6,2021-11-14,55,31,17,27,False,Bordeaux,130
7,2021-11-21,59,31,19,27,False,Bordeaux,136
8,2021-11-28,61,34,19,28,False,Bordeaux,142
9,2021-12-05,69,40,23,31,False,Bordeaux,163
10,2021-12-12,68,39,21,32,False,Bordeaux,160
11,2021-12-19,100,49,27,36,False,Bordeaux,212
12,2021-12-26,72,39,22,33,False,Bordeaux,166
13,2022-01-02,66,43,23,30,False,Bordeaux,162
14,2022-01-09,58,34,19,26,False,Bordeaux,137
15,2022-01-16,55,39,22,28,False,Bordeaux,144
16,2022-01-23,55,36,21,28,False,Bordeaux,140
17,2022-01-30,57,38,22,31,False,Bordeaux,148
18,2022-02-06,54,38,21,29,False,Bordeaux,142
19,2022-02-13,58,40,21,30,False,Bordeaux,149
20,2022-02-20,49,35,21,28,False,Bordeaux,133
21,2022-02-27,53,34,21,31,False,Bordeaux,139
22,2022-03-06,51,34,21,30,False,Bordeaux,136
23,2022-03-13,58,43,29,39,False,Bordeaux,169
24,2022-03-20,52,38,24,31,False,Bordeaux,145
25,2022-03-27,52,40,23,32,False,Bordeaux,147
26,2022-04-03,58,41,24,33,False,Bordeaux,156
27,2022-04-10,53,39,24,33,False,Bordeaux,149
28,2022-04-17,57,43,28,35,False,Bordeaux,163
29,2022-04-24,51,41,24,32,False,Bordeaux,148
30,2022-05-01,52,39,25,32,False,Bordeaux,148
31,2022-05-08,50,42,28,35,False,Bordeaux,155
32,2022-05-15,57,40,29,35,False,Bordeaux,161
33,2022-05-22,51,39,28,35,False,Bordeaux,153
34,2022-05-29,55,42,29,35,False,Bordeaux,161
35,2022-06-05,55,42,29,38,False,Bordeaux,164
36,2022-06-12,58,48,36,44,False,Bordeaux,186
37,2022-06-19,55,43,30,38,False,Bordeaux,166
38,2022-06-26,55,46,35,36,False,Bordeaux,172
39,2022-07-03,52,44,31,36,False,Bordeaux,163
40,2022-07-10,56,48,36,44,False,Bordeaux,184
41,2022-07-17,58,49,38,45,False,Bordeaux,190
42,2022-07-24,55,47,31,38,False,Bordeaux,171
43,2022-07-31,55,43,30,39,False,Bordeaux,167
44,2022-08-07,60,47,39,46,False,Bordeaux,192
45,2022-08-14,55,43,31,39,False,Bordeaux,168
46,2022-08-21,59,45,30,45,False,Bordeaux,179
47,2022-08-28,54,42,28,38,False,Bordeaux,162
48,2022-09-04,54,39,25,34,False,Bordeaux,152
49,2022-09-11,53,39,25,32,False,Bordeaux,149
50,2022-09-18,58,38,24,33,False,Bordeaux,153
51,2022-09-25,57,38,25,35,False,Bordeaux,155
