,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,43,22,8,5,False,Burgund,78
1,2021-10-10,44,21,7,3,False,Burgund,75
2,2021-10-17,43,21,6,3,False,Burgund,73
3,2021-10-24,47,21,6,6,False,Burgund,80
4,2021-10-31,47,22,6,4,False,Burgund,79
5,2021-11-07,57,24,5,4,False,Burgund,90
6,2021-11-14,48,21,6,5,False,Burgund,80
7,2021-11-21,54,25,8,5,False,Burgund,92
8,2021-11-28,55,25,8,5,False,Burgund,93
9,2021-12-05,60,28,9,6,False,Burgund,103
10,2021-12-12,67,30,10,9,False,Burgund,116
11,2021-12-19,100,39,14,11,False,Burgund,164
12,2021-12-26,64,27,8,7,False,Burgund,106
13,2022-01-02,53,28,6,3,False,Burgund,90
14,2022-01-09,50,25,5,3,False,Burgund,83
15,2022-01-16,44,25,6,4,False,Burgund,79
16,2022-01-23,45,24,7,5,False,Burgund,81
17,2022-01-30,46,26,6,6,False,Burgund,84
18,2022-02-06,44,25,6,4,False,Burgund,79
19,2022-02-13,48,26,7,4,False,Burgund,85
20,2022-02-20,39,22,7,4,False,Burgund,72
21,2022-02-27,41,21,5,7,False,Burgund,74
22,2022-03-06,39,22,6,4,False,Burgund,71
23,2022-03-13,38,21,6,6,False,Burgund,71
24,2022-03-20,38,22,6,4,False,Burgund,70
25,2022-03-27,38,23,6,4,False,Burgund,71
26,2022-04-03,42,24,7,4,False,Burgund,77
27,2022-04-10,39,24,8,5,False,Burgund,76
28,2022-04-17,39,24,7,4,False,Burgund,74
29,2022-04-24,37,24,7,4,False,Burgund,72
30,2022-05-01,37,25,9,4,False,Burgund,75
31,2022-05-08,35,24,8,5,False,Burgund,72
32,2022-05-15,39,22,9,4,False,Burgund,74
33,2022-05-22,34,21,9,6,False,Burgund,70
34,2022-05-29,39,24,10,4,False,Burgund,77
35,2022-06-05,37,22,8,4,False,Burgund,71
36,2022-06-12,33,22,9,6,False,Burgund,70
37,2022-06-19,35,23,10,4,False,Burgund,72
38,2022-06-26,34,27,14,4,False,Burgund,79
39,2022-07-03,33,27,10,4,False,Burgund,74
40,2022-07-10,32,25,11,4,False,Burgund,72
41,2022-07-17,33,22,11,3,False,Burgund,69
42,2022-07-24,35,26,10,4,False,Burgund,75
43,2022-07-31,35,24,10,4,False,Burgund,73
44,2022-08-07,36,23,11,5,False,Burgund,75
45,2022-08-14,35,24,10,4,False,Burgund,73
46,2022-08-21,43,26,10,13,False,Burgund,92
47,2022-08-28,37,24,8,5,False,Burgund,74
48,2022-09-04,39,22,6,4,False,Burgund,71
49,2022-09-11,35,22,6,3,False,Burgund,66
50,2022-09-18,45,23,7,4,False,Burgund,79
51,2022-09-25,44,21,7,5,False,Burgund,77
