,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,44,23,8,16,False,Piemonte,91
1,2021-10-10,45,22,8,14,False,Piemonte,89
2,2021-10-17,43,22,7,15,False,Piemonte,87
3,2021-10-24,47,23,8,19,False,Piemonte,97
4,2021-10-31,48,23,6,15,False,Piemonte,92
5,2021-11-07,57,25,6,17,False,Piemonte,105
6,2021-11-14,49,22,6,17,False,Piemonte,94
7,2021-11-21,54,25,9,18,False,Piemonte,106
8,2021-11-28,56,25,9,21,False,Piemonte,111
9,2021-12-05,61,29,9,21,False,Piemonte,120
10,2021-12-12,67,30,11,25,False,Piemonte,133
11,2021-12-19,100,40,15,28,False,Piemonte,183
12,2021-12-26,64,27,10,22,False,Piemonte,123
13,2022-01-02,53,28,7,17,False,Piemonte,105
14,2022-01-09,50,26,6,15,False,Piemonte,97
15,2022-01-16,44,26,7,14,False,Piemonte,91
16,2022-01-23,46,24,7,16,False,Piemonte,93
17,2022-01-30,47,26,7,18,False,Piemonte,98
18,2022-02-06,43,25,6,17,False,Piemonte,91
19,2022-02-13,49,27,8,16,False,Piemonte,100
20,2022-02-20,40,23,8,15,False,Piemonte,86
21,2022-02-27,42,21,7,18,False,Piemonte,88
22,2022-03-06,40,23,7,16,False,Piemonte,86
23,2022-03-13,38,21,7,19,False,Piemonte,85
24,2022-03-20,39,23,7,14,False,Piemonte,83
25,2022-03-27,38,23,7,15,False,Piemonte,83
26,2022-04-03,42,25,7,15,False,Piemonte,89
27,2022-04-10,41,25,9,17,False,Piemonte,92
28,2022-04-17,39,24,8,16,False,Piemonte,87
29,2022-04-24,37,24,8,16,False,Piemonte,85
30,2022-05-01,38,26,10,17,False,Piemonte,91
31,2022-05-08,36,24,9,17,False,Piemonte,86
32,2022-05-15,40,23,10,16,False,Piemonte,89
33,2022-05-22,37,22,10,19,False,Piemonte,88
34,2022-05-29,39,25,11,18,False,Piemonte,93
35,2022-06-05,38,23,9,19,False,Piemonte,89
36,2022-06-12,34,23,10,20,False,Piemonte,87
37,2022-06-19,38,24,11,19,False,Piemonte,92
38,2022-06-26,37,28,14,15,False,Piemonte,94
39,2022-07-03,34,28,13,18,False,Piemonte,93
40,2022-07-10,34,26,12,23,False,Piemonte,95
41,2022-07-17,33,23,12,21,False,Piemonte,89
42,2022-07-24,39,27,10,19,False,Piemonte,95
43,2022-07-31,35,25,12,20,False,Piemonte,92
44,2022-08-07,36,24,13,23,False,Piemonte,96
45,2022-08-14,35,24,11,19,False,Piemonte,89
46,2022-08-21,44,27,11,28,False,Piemonte,110
47,2022-08-28,39,25,9,19,False,Piemonte,92
48,2022-09-04,40,23,7,17,False,Piemonte,87
49,2022-09-11,39,23,7,15,False,Piemonte,84
50,2022-09-18,46,23,8,18,False,Piemonte,95
51,2022-09-25,44,22,8,19,False,Piemonte,93
