,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,42,23,7,5,False,Rhone,77
1,2021-10-10,44,22,7,3,False,Rhone,76
2,2021-10-17,43,22,7,4,False,Rhone,76
3,2021-10-24,47,22,6,6,False,Rhone,81
4,2021-10-31,48,23,6,4,False,Rhone,81
5,2021-11-07,57,25,6,4,False,Rhone,92
6,2021-11-14,48,21,6,5,False,Rhone,80
7,2021-11-21,54,25,9,5,False,Rhone,93
8,2021-11-28,56,25,8,5,False,Rhone,94
9,2021-12-05,60,28,9,7,False,Rhone,104
10,2021-12-12,67,30,11,9,False,Rhone,117
11,2021-12-19,100,39,14,12,False,Rhone,165
12,2021-12-26,63,26,8,7,False,Rhone,104
13,2022-01-02,53,28,6,4,False,Rhone,91
14,2022-01-09,50,25,6,4,False,Rhone,85
15,2022-01-16,43,26,7,5,False,Rhone,81
16,2022-01-23,46,23,6,5,False,Rhone,80
17,2022-01-30,47,25,6,6,False,Rhone,84
18,2022-02-06,43,24,6,4,False,Rhone,77
19,2022-02-13,48,27,7,4,False,Rhone,86
20,2022-02-20,38,22,6,4,False,Rhone,70
21,2022-02-27,41,20,6,7,False,Rhone,74
22,2022-03-06,39,22,6,4,False,Rhone,71
23,2022-03-13,38,21,6,6,False,Rhone,71
24,2022-03-20,38,23,6,4,False,Rhone,71
25,2022-03-27,37,23,6,4,False,Rhone,70
26,2022-04-03,42,24,7,5,False,Rhone,78
27,2022-04-10,40,24,8,5,False,Rhone,77
28,2022-04-17,39,23,7,5,False,Rhone,74
29,2022-04-24,37,24,7,4,False,Rhone,72
30,2022-05-01,37,25,9,4,False,Rhone,75
31,2022-05-08,35,24,8,5,False,Rhone,72
32,2022-05-15,39,22,9,3,False,Rhone,73
33,2022-05-22,34,20,9,5,False,Rhone,68
34,2022-05-29,40,25,10,4,False,Rhone,79
35,2022-06-05,37,23,8,5,False,Rhone,73
36,2022-06-12,34,22,9,6,False,Rhone,71
37,2022-06-19,35,23,10,4,False,Rhone,72
38,2022-06-26,37,27,15,4,False,Rhone,83
39,2022-07-03,33,27,12,5,False,Rhone,77
40,2022-07-10,33,25,11,4,False,Rhone,73
41,2022-07-17,33,22,11,4,False,Rhone,70
42,2022-07-24,38,26,10,4,False,Rhone,78
43,2022-07-31,34,24,11,4,False,Rhone,73
44,2022-08-07,36,23,12,5,False,Rhone,76
45,2022-08-14,35,24,10,4,False,Rhone,73
46,2022-08-21,43,26,10,13,False,Rhone,92
47,2022-08-28,37,24,8,4,False,Rhone,73
48,2022-09-04,39,22,6,4,False,Rhone,71
49,2022-09-11,36,22,6,3,False,Rhone,67
50,2022-09-18,45,23,7,5,False,Rhone,80
51,2022-09-25,44,21,8,6,False,Rhone,79
