,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,43,24,12,9,False,Rioja,88
1,2021-10-10,44,25,12,8,False,Rioja,89
2,2021-10-17,42,25,12,9,False,Rioja,88
3,2021-10-24,46,24,11,11,False,Rioja,92
4,2021-10-31,46,23,11,9,False,Rioja,89
5,2021-11-07,54,26,10,9,False,Rioja,99
6,2021-11-14,47,24,10,10,False,Rioja,91
7,2021-11-21,55,28,14,11,False,Rioja,108
8,2021-11-28,57,28,14,11,False,Rioja,110
9,2021-12-05,60,31,15,13,False,Rioja,119
10,2021-12-12,67,35,19,17,False,Rioja,138
11,2021-12-19,100,48,26,23,False,Rioja,197
12,2021-12-26,64,31,16,15,False,Rioja,126
13,2022-01-02,51,29,11,8,False,Rioja,99
14,2022-01-09,48,27,10,8,False,Rioja,93
15,2022-01-16,44,27,12,11,False,Rioja,94
16,2022-01-23,45,25,11,10,False,Rioja,91
17,2022-01-30,46,27,11,11,False,Rioja,95
18,2022-02-06,44,27,11,10,False,Rioja,92
19,2022-02-13,48,30,12,10,False,Rioja,100
20,2022-02-20,39,23,11,9,False,Rioja,82
21,2022-02-27,40,22,9,10,False,Rioja,81
22,2022-03-06,38,23,10,8,False,Rioja,79
23,2022-03-13,36,23,10,10,False,Rioja,79
24,2022-03-20,38,23,11,9,False,Rioja,81
25,2022-03-27,38,25,10,9,False,Rioja,82
26,2022-04-03,43,25,11,8,False,Rioja,87
27,2022-04-10,39,26,12,10,False,Rioja,87
28,2022-04-17,40,25,11,9,False,Rioja,85
29,2022-04-24,37,26,12,9,False,Rioja,84
30,2022-05-01,39,26,13,8,False,Rioja,86
31,2022-05-08,35,25,11,9,False,Rioja,80
32,2022-05-15,38,22,12,7,False,Rioja,79
33,2022-05-22,36,23,12,9,False,Rioja,80
34,2022-05-29,38,25,13,7,False,Rioja,83
35,2022-06-05,36,24,12,8,False,Rioja,80
36,2022-06-12,34,24,14,11,False,Rioja,83
37,2022-06-19,37,25,14,9,False,Rioja,85
38,2022-06-26,35,27,15,7,False,Rioja,84
39,2022-07-03,34,27,14,8,False,Rioja,83
40,2022-07-10,33,26,14,8,False,Rioja,81
41,2022-07-17,34,24,14,7,False,Rioja,79
42,2022-07-24,38,27,14,9,False,Rioja,88
43,2022-07-31,36,25,14,8,False,Rioja,83
44,2022-08-07,37,24,15,9,False,Rioja,85
45,2022-08-14,37,25,14,8,False,Rioja,84
46,2022-08-21,40,27,13,16,False,Rioja,96
47,2022-08-28,37,25,12,9,False,Rioja,83
48,2022-09-04,38,24,10,8,False,Rioja,80
49,2022-09-11,38,24,10,8,False,Rioja,80
50,2022-09-18,44,24,11,10,False,Rioja,89
51,2022-09-25,43,23,12,9,False,Rioja,87
