,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,52,33,19,17,False,Sicily,121
1,2021-10-10,50,30,17,14,False,Sicily,111
2,2021-10-17,50,30,18,15,False,Sicily,113
3,2021-10-24,57,31,19,20,False,Sicily,127
4,2021-10-31,52,29,15,13,False,Sicily,109
5,2021-11-07,60,30,14,13,False,Sicily,117
6,2021-11-14,54,28,14,14,False,Sicily,110
7,2021-11-21,59,30,16,12,False,Sicily,117
8,2021-11-28,59,29,14,11,False,Sicily,113
9,2021-12-05,62,31,15,13,False,Sicily,121
10,2021-12-12,68,34,17,15,False,Sicily,134
11,2021-12-19,100,43,21,19,False,Sicily,183
12,2021-12-26,69,35,18,18,False,Sicily,140
13,2022-01-02,66,43,24,21,False,Sicily,154
14,2022-01-09,64,41,22,21,False,Sicily,148
15,2022-01-16,59,40,23,21,False,Sicily,143
16,2022-01-23,59,38,23,22,False,Sicily,142
17,2022-01-30,60,41,22,23,False,Sicily,146
18,2022-02-06,60,42,25,23,False,Sicily,150
19,2022-02-13,62,45,24,22,False,Sicily,153
20,2022-02-20,56,39,25,23,False,Sicily,143
21,2022-02-27,59,38,24,24,False,Sicily,145
22,2022-03-06,57,40,26,24,False,Sicily,147
23,2022-03-13,59,43,29,31,False,Sicily,162
24,2022-03-20,60,46,29,27,False,Sicily,162
25,2022-03-27,62,47,32,30,False,Sicily,171
26,2022-04-03,64,46,30,29,False,Sicily,169
27,2022-04-10,65,52,35,33,False,Sicily,185
28,2022-04-17,68,52,36,34,False,Sicily,190
29,2022-04-24,62,49,33,30,False,Sicily,174
30,2022-05-01,63,51,35,32,False,Sicily,181
31,2022-05-08,59,49,34,32,False,Sicily,174
32,2022-05-15,63,46,35,30,False,Sicily,174
33,2022-05-22,58,43,30,28,False,Sicily,159
34,2022-05-29,61,47,33,28,False,Sicily,169
35,2022-06-05,59,46,32,29,False,Sicily,166
36,2022-06-12,60,50,37,33,False,Sicily,180
37,2022-06-19,57,45,32,28,False,Sicily,162
38,2022-06-26,59,51,38,28,False,Sicily,176
39,2022-07-03,59,52,37,29,False,Sicily,177
40,2022-07-10,58,50,38,29,False,Sicily,175
41,2022-07-17,59,49,38,30,False,Sicily,176
42,2022-07-24,61,49,35,29,False,Sicily,174
43,2022-07-31,60,47,36,29,False,Sicily,172
44,2022-08-07,60,46,38,29,False,Sicily,173
45,2022-08-14,62,52,38,30,False,Sicily,182
46,2022-08-21,69,53,37,40,False,Sicily,199
47,2022-08-28,59,47,32,28,False,Sicily,166
48,2022-09-04,59,43,28,26,False,Sicily,156
49,2022-09-11,58,43,28,26,False,Sicily,155
50,2022-09-18,62,41,27,24,False,Sicily,154
51,2022-09-25,60,39,26,24,False,Sicily,149
