,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,43,22,8,4,False,Trentino,77
1,2021-10-10,44,21,7,3,False,Trentino,75
2,2021-10-17,42,21,6,3,False,Trentino,72
3,2021-10-24,46,22,7,6,False,Trentino,81
4,2021-10-31,48,22,6,4,False,Trentino,80
5,2021-11-07,56,24,5,4,False,Trentino,89
6,2021-11-14,48,21,6,5,False,Trentino,80
7,2021-11-21,54,24,8,5,False,Trentino,91
8,2021-11-28,55,25,8,5,False,Trentino,93
9,2021-12-05,60,28,9,6,False,Trentino,103
10,2021-12-12,67,30,11,8,False,Trentino,116
11,2021-12-19,100,39,15,12,False,Trentino,166
12,2021-12-26,63,26,8,8,False,Trentino,105
13,2022-01-02,53,28,6,3,False,Trentino,90
14,2022-01-09,49,25,5,3,False,Trentino,82
15,2022-01-16,44,25,6,4,False,Trentino,79
16,2022-01-23,46,23,7,5,False,Trentino,81
17,2022-01-30,46,25,6,6,False,Trentino,83
18,2022-02-06,43,25,6,4,False,Trentino,78
19,2022-02-13,48,27,6,4,False,Trentino,85
20,2022-02-20,38,22,6,4,False,Trentino,70
21,2022-02-27,41,20,5,7,False,Trentino,73
22,2022-03-06,39,22,6,4,False,Trentino,71
23,2022-03-13,37,21,6,6,False,Trentino,70
24,2022-03-20,38,23,6,4,False,Trentino,71
25,2022-03-27,37,23,6,4,False,Trentino,70
26,2022-04-03,42,24,7,4,False,Trentino,77
27,2022-04-10,40,24,8,5,False,Trentino,77
28,2022-04-17,38,23,7,4,False,Trentino,72
29,2022-04-24,37,24,7,3,False,Trentino,71
30,2022-05-01,36,24,9,4,False,Trentino,73
31,2022-05-08,35,24,8,5,False,Trentino,72
32,2022-05-15,39,21,9,3,False,Trentino,72
33,2022-05-22,35,20,9,5,False,Trentino,69
34,2022-05-29,39,24,10,4,False,Trentino,77
35,2022-06-05,37,23,9,4,False,Trentino,73
36,2022-06-12,33,22,9,6,False,Trentino,70
37,2022-06-19,35,23,10,4,False,Trentino,72
38,2022-06-26,34,27,14,4,False,Trentino,79
39,2022-07-03,33,27,11,4,False,Trentino,75
40,2022-07-10,32,25,11,4,False,Trentino,72
41,2022-07-17,33,22,11,3,False,Trentino,69
42,2022-07-24,35,26,9,4,False,Trentino,74
43,2022-07-31,34,24,10,4,False,Trentino,72
44,2022-08-07,36,23,12,5,False,Trentino,76
45,2022-08-14,35,24,10,4,False,Trentino,73
46,2022-08-21,42,26,9,13,False,Trentino,90
47,2022-08-28,37,23,8,4,False,Trentino,72
48,2022-09-04,39,22,6,3,False,Trentino,70
49,2022-09-11,35,22,6,3,False,Trentino,66
50,2022-09-18,45,23,7,4,False,Trentino,79
51,2022-09-25,44,21,7,5,False,Trentino,77
