,Name,Year,Price,Cl,Country,Category,Region,ID
0,Bache-Gabrielsen Hors d'Age,Non-Vintage,216.52,70 cl,France,Liquor, Cognac Tradisjonell,3496001
1,Quinta do Vallado Tawny 40 YO,Non-Vintage,117.39,50 cl,Portugal,Port wine, Douro e Porto,3619402
2,Quinta do Vallado Tawny 30 YO,Non-Vintage,86.09,50 cl,Portugal,Port wine, Douro e Porto,3619302
3,Spey Royal Choice,Non-Vintage,200,70 cl,Scotland,Liquor, Speyside,3741901
4,Dom. du Pélican Arbois Chardonnay 2019,2019,75.3,150 cl,France,White wine, Jura,3777305
5,Zacapa Edición Negra,Non-Vintage,72.17,70 cl,Guatemala,Liquor, Øvrige,3772201
6,Nicolas Feuillatte Palmes d'Or 1999,1999,247.82,150 cl,France,Sparkling wine, Champagne,3951505
7,Jaime I,Non-Vintage,86.95,70 cl,Spain,Liquor, Catalonia,4033201
8,Michter's US 1 Bourbon Whiskey,Non-Vintage,68.69,70 cl,USA,Liquor, Kentucky,3957701
9,Ch. la Nerthe Cuvée des Cadettes Châteauneuf-du-Pape 2016,2016,78.25,75 cl,France,Red wine,Rhône,4174801
10,Graham's Vintage Port 1994,1994,120,75 cl,Portugal,Port wine, Douro e Porto,4224701
11,Trimbach Frédéric Émile Riesling 2013,2013,115.65,150 cl,France,White wine, Alsace,4218605
12,Halfdan Extra Gammel,Non-Vintage,65.22,70 cl,France,Liquor, Cognac Tradisjonell,4202801
13,Nicolas Feuillatte Réserve Exclusive Brut Rosé,Non-Vintage,106.08,150 cl,France,Sparkling wine, Champagne,4332105
14,Bollinger la Grande Année Rosé Brut 2014,2014,188.69,75 cl,France,Sparkling wine, Champagne,4398201
15,Tesseron Lot N°90,Non-Vintage,103.91,70 cl,France,Liquor, Cognac Tradisjonell,4339001
16,Tesseron Lot N° 76 X.O. Tradition,Non-Vintage,138.7,70 cl,France,Liquor, Cognac Tradisjonell,4338901
17,Ch. Cissac 2018,2018,69.56,150 cl,France,Red wine, Bordeaux,4364505
18,Nicolas Feuillatte Brut,Non-Vintage,212.17,300 cl,France,Sparkling wine, Champagne,4364107
19,Veuve Clicquot Brut Rosé,Non-Vintage,122.6,150 cl,France,Sparkling wine, Champagne,4402205
20,Compass Box The Peat Monster,Non-Vintage,72.09,70 cl,Scotland,Liquor, Øvrige,4484301
21,Prod. del Barbaresco 2017,2017,159.12,300 cl,Italy,Red wine, Piemonte,4570507
22,Castello di Brolio Chianti Classico 2016,2016,79.99,150 cl,Italy,Red wine, Toscana,4573205
23,Taylor's Vintage Port 2009,2009,70.43,75 cl,Portugal,Port wine, Douro e Porto,4643801
24,Ch. de Beaulon Vintage Cognac 1980,1980,361.81,70 cl,France,Liquor, Cognac Tradisjonell,4782701
25,Quinta do Infantado Vintage 2011,2011,84.55,75 cl,Portugal,Port wine, Douro e Porto,4899601
26,Prod. del Barbaresco 2018,2018,72.17,150 cl,Italy,Red wine, Piemonte,4752705
27,Noval 20 Years Old Tawny,Non-Vintage,69.13,75 cl,Portugal,Port wine, Douro e Porto,4850501
28,Daniel Bouju Cognac Extra,Non-Vintage,126.12,70 cl,France,Liquor, Cognac Tradisjonell,4874501
29,Quinta do Infantado Vintage 1999,1999,152.45,150 cl,Portugal,Port wine, Douro e Porto,4899205
30,Eric Rodez Ambonnay Cuvée des Grands Vintages Grand Cru Brut,Non-Vintage,74.78,75 cl,France,Sparkling wine, Champagne,4820301
31,Quinta do Infantado Vintage 1997,1997,161.97,150 cl,Portugal,Port wine, Douro e Porto,4899405
32,Ch. Giscours 2012,2012,92.11,75 cl,France,Red wine, Bordeaux,2838801
33,Clairin Casimir Rum Batch 2,Non-Vintage,66.08,70 cl,Haiti,Liquor,not found,2884201
34,Martell X.O.,Non-Vintage,112.96,70 cl,France,Liquor, Cognac Tradisjonell,3007001
35,Chivas Royal Salute 21 YO,Non-Vintage,117.3,70 cl,Scotland,Liquor, Øvrige,3007201
36,Barolo Carobric 2018,2018,85.47,75 cl,Italy,Red wine, Piemonte,2985601
37,Hennessy Paradis,Non-Vintage,921.73,70 cl,France,Liquor, Cognac Tradisjonell,3045901
38,Casa Real 2017,2017,82.61,75 cl,Chile,Red wine, Valle Central,3069601
39,Glenmorangie 18 Years Old,Non-Vintage,99.12,70 cl,Scotland,Liquor, Øvrige,3012501
40,Courvoisier Napoléon,Non-Vintage,85.64,70 cl,France,Liquor, Cognac Tradisjonell,3031001
41,J. Moreau & Fils Chablis Grand Cru Valmur 2020,2020,69.56,75 cl,France,White wine, Burgund,3043601
42,"Charlemagne Blanc de Blancs Réserve, Brut",Non-Vintage,86.95,150 cl,France,Sparkling wine, Champagne,3068905
43,Bushmills Malt 16 YO,Non-Vintage,90.69,70 cl,Ireland,Liquor, Øvrige,3055801
44,Mastroberardino Radici Taurasi Riserva 2015,2015,108.61,150 cl,Italy,Red wine, Campania,3093805
45,Glenfiddich Ancient Reserve 18 YO,Non-Vintage,82.52,70 cl,Scotland,Liquor, Speyside,3224901
46,Quintarelli Valpolicella Classico Superiore 2015,2015,86.95,75 cl,Italy,Red wine, Veneto,3187401
47,Cuervo Reserva de la Familia,Non-Vintage,131.56,70 cl,Mexico,Liquor, Øvrige,3216201
48,Banfi Brunello di Montalcino 2017,2017,176.09,300 cl,Italy,Red wine, Toscana,3224007
49,Poggio all'Oro Brunello di Montalcino 2015,2015,134.77,75 cl,Italy,Red wine, Toscana,3223901
50,Cuvée Maria No 99 X.O.,Non-Vintage,65.57,70 cl,France,Liquor, Cognac Tradisjonell,3263401
51,Ragnaud-Sabourin No 20 Réserve Spéciale Grande Champagne,Non-Vintage,89.48,70 cl,France,Liquor, Cognac Tradisjonell,3295801
52,Meukow XO Gold Panther,Non-Vintage,98.61,70 cl,France,Liquor, Cognac Tradisjonell,3280401
53,Terroir Al Límit Les Manyes 2019,2019,169.56,75 cl,Spain,Red wine, Catalonia,3506901
54,Baron Otard V.S.O.P.,Non-Vintage,208.69,300 cl,France,Liquor, Cognac Tradisjonell,3495107
55,Ch. Corton Grancey Grand Cru 2014,2014,95.64,75 cl,France,Red wine, Burgund,3496701
56,Louis Latour Corton Charlemagne Grand Cru 2017,2017,156.51,75 cl,France,White wine, Burgund,3497101
57,Tezza Amarone della Valpolicella 2015,2015,217.39,300 cl,Italy,Red wine, Veneto,3558107
58,Fontanafredda Barolo Vigna la Rosa 2013,2013,77.83,75 cl,Italy,Red wine, Piemonte,3554101
59,Emidio Pepe Montepulciano d'Abruzzo Selezione Vecchie Vigne 2018,2018,86.95,75 cl,Italy,Red wine, Abruzzo,3618901
60,Ron Zaya Grand Reserva 12 YO,Non-Vintage,71.3,70 cl,Trinidad and Tobago            ,Liquor, Øvrige,3576401
61,Ron Cartavio XO,Non-Vintage,89.91,70 cl,Peru,Liquor, Øvrige,3576901
62,Comte Georges de Vogüé Bonnes-Mares Grand Cru,Non-Vintage,347.74,75 cl,France,Red wine, Burgund,3686601
