,user,red_wine,white_wine,sparkling_wine,rosé_wine,content
0,Winehouseportu1,0,0,1,0,"This sparkling wine has salmon-coloured, medium bubbly and persistent; attractive nose of ripe red fruits such as currant and strawberry complemented with delicate floral aromas of clove and honeysuckle, fresh mint and slight smoky notes. In the mouth it reveals light and complex https://t.co/yxlibuImPX"
1,STLewis19,0,0,1,0,@Atomique28Noir @jzux How about sparkling wine or champagne? The bubbles make it palatable to me.
2,aproperdrinkuk,0,0,0,0,"Are You Game? Sparkling, Fowles Wine
https://t.co/RuuWlvbhBe
#aproperdrink #luxurydrinks #christmasdrinks https://t.co/D5MGidAl5k"
3,DesignCentreCH,0,0,1,0,At #TwinkleAtDCCH @Colefax_Fowler invites you to join for an origami demo. You will be folding lovely Christmas stars from an assortment of decorative papers. Perfect for dressing your Christmas tree whilst enjoying a glass of English sparkling wine https://t.co/Lij6kojZTI https://t.co/0jpNgrFGK2
4,cryptstina,0,0,0,0,"@jzux sparkling water, beer, and wine are all terrible and I feel like I'm being pranked when people say they enjoy them. Don't get me started on IPAs 🤮"
5,LizGabayMW,0,0,1,0,@beckhopkinswine @FelicityCarter @WineBusiness Heard from one big sparkling wine producer - 9 month wait for foils.
6,cntraveller,0,0,1,0,"Premium passengers are offered complimentary sparkling wine or cocktails upon boarding. But the pièce de résistance is the seat's recline function: as well as reclining backward, the seat moves forward and up, so your legs and back are slightly elevated."
7,CivicScience,0,0,0,0,"🍷 Wine drinkers who prefer reds are much more likely to gift wine this year, while those who favor white, rosé, and sparkling are less likely to gift wine. https://t.co/0S5Q2m9g8g https://t.co/Hv90i6nsGV"
8,H0URLYKAEYA,0,0,1,0,Sparkling wine is a specialty of Mondstadt. Mix it with three parts Dandelion Wine and the bitterness disappears completely. This concoction is known as ''Death After Noon'' Delectable.
9,SheGotTheSilver,0,0,1,0,"@bdjansenphd Before Covid this was common at my university departement (in Germany) as well. Mostly sparkling wine, Mimosas and cake... Haven't attended a defense in the last three years, so I don't know how it's handled at the moment."
10,IBadkitty,0,0,1,0,Some gift are small but sometimes perfect sparkling wine and chocolate 🍫 https://t.co/wkOSBHi4Hq
11,tinystipple,0,0,1,0,"Who's joining us for next week's Champagne Cocktails Evening? 

Thursday the 10th of November,  7pm. Tickets are £20 and available in our Chorlton shop.

Your ticket includes 7 drinks - a gorgeous sparkling wine, 3 different spirits, &amp; 3 fabulous Champagne Cocktails 🥂 https://t.co/o0uiUbFk7Y"
12,SepiksPrime01,0,0,1,0,@chibidokii Maturing is still drinking sparkling wine instead of champagne on New Years
13,Marklikeswine,0,0,1,0,"@HistoryandWine @BiscayneTimes No different than if you do one on champagne, there is a minimum price point for that area and if you want to go below that you have to look at sparkling wine from other regions. Didn't mean to take you down a rabbit hole off topic from your excellent article!"
14,jatizzard,0,0,1,0,"@theNSLC Last year you sold a sparkling wine advent calendar and they were practically sold out by early November, but nothing has appeared in store yet this year. Will you be selling anything similar for 2022?"
15,kaeyaquote,0,0,1,0,Sparkling wine is a specialty of Mondstadt. Mix it with three parts Dandelion Wine and the bitterness disappears completely. This concoction is known as Death After Noon.
16,majesticlch,0,0,1,0,Sparkling Wine Offers end on the 7th November. Don't miss out! https://t.co/vT1cRetGFs
17,blessedbyV,0,0,0,0,"@Moanerleaser I buy myself a good wine, (or welches sparkling grape when I don’t want alcohol)"
18,D0ntBeFooled,0,0,1,0,"@ByDonkeys @Nyetimber Jacob Rees-Mogg getting cancelled by English sparkling wine @Nyetimber is the content I’m here for.

* This is using the “being held accountable for my actions and there being consequences” definition of cancelled

#ToriesOut118
#GeneralElectionNow"
