,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,44,23,8,5,False,Burgund,80
1,2021-10-10,44,21,7,3,False,Burgund,75
2,2021-10-17,43,22,7,3,False,Burgund,75
3,2021-10-24,48,22,6,6,False,Burgund,82
4,2021-10-31,48,23,6,4,False,Burgund,81
5,2021-11-07,57,24,5,4,False,Burgund,90
6,2021-11-14,49,22,6,5,False,Burgund,82
7,2021-11-21,55,25,8,5,False,Burgund,93
8,2021-11-28,57,25,8,5,False,Burgund,95
9,2021-12-05,62,28,9,7,False,Burgund,106
10,2021-12-12,67,30,11,9,False,Burgund,117
11,2021-12-19,100,39,15,11,False,Burgund,165
12,2021-12-26,64,26,8,7,False,Burgund,105
13,2022-01-02,53,28,6,3,False,Burgund,90
14,2022-01-09,50,25,6,3,False,Burgund,84
15,2022-01-16,43,25,7,5,False,Burgund,80
16,2022-01-23,45,23,7,5,False,Burgund,80
17,2022-01-30,48,26,6,6,False,Burgund,86
18,2022-02-06,43,25,6,4,False,Burgund,78
19,2022-02-13,48,27,6,4,False,Burgund,85
20,2022-02-20,39,22,7,4,False,Burgund,72
21,2022-02-27,42,21,5,6,False,Burgund,74
22,2022-03-06,40,22,6,4,False,Burgund,72
23,2022-03-13,38,21,6,6,False,Burgund,71
24,2022-03-20,38,23,6,4,False,Burgund,71
25,2022-03-27,37,23,6,4,False,Burgund,70
26,2022-04-03,42,25,6,4,False,Burgund,77
27,2022-04-10,40,25,8,5,False,Burgund,78
28,2022-04-17,39,23,7,5,False,Burgund,74
29,2022-04-24,37,24,7,3,False,Burgund,71
30,2022-05-01,37,24,9,4,False,Burgund,74
31,2022-05-08,35,24,8,5,False,Burgund,72
32,2022-05-15,40,22,9,4,False,Burgund,75
33,2022-05-22,35,20,9,6,False,Burgund,70
34,2022-05-29,40,25,10,4,False,Burgund,79
35,2022-06-05,38,23,8,4,False,Burgund,73
36,2022-06-12,34,23,9,6,False,Burgund,72
37,2022-06-19,35,24,10,5,False,Burgund,74
38,2022-06-26,34,27,14,4,False,Burgund,79
39,2022-07-03,34,28,11,5,False,Burgund,78
40,2022-07-10,33,25,11,4,False,Burgund,73
41,2022-07-17,33,23,12,4,False,Burgund,72
42,2022-07-24,36,26,11,4,False,Burgund,77
43,2022-07-31,35,24,11,4,False,Burgund,74
44,2022-08-07,36,23,13,5,False,Burgund,77
45,2022-08-14,35,24,10,4,False,Burgund,73
46,2022-08-21,43,26,10,13,False,Burgund,92
47,2022-08-28,38,24,8,6,False,Burgund,76
48,2022-09-04,40,23,6,3,False,Burgund,72
49,2022-09-11,35,22,6,3,False,Burgund,66
50,2022-09-18,45,23,7,5,False,Burgund,80
51,2022-09-25,44,22,8,5,False,Burgund,79
