,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,42,34,28,26,False,Champagne,130
1,2021-10-10,43,33,27,26,False,Champagne,129
2,2021-10-17,42,33,27,26,False,Champagne,128
3,2021-10-24,44,34,27,28,False,Champagne,133
4,2021-10-31,46,35,28,28,False,Champagne,137
5,2021-11-07,56,41,32,32,False,Champagne,161
6,2021-11-14,54,39,33,33,False,Champagne,159
7,2021-11-21,53,42,36,35,False,Champagne,166
8,2021-11-28,54,44,39,37,False,Champagne,174
9,2021-12-05,64,51,44,43,False,Champagne,202
10,2021-12-12,70,59,52,56,False,Champagne,237
11,2021-12-19,100,81,65,75,False,Champagne,321
12,2021-12-26,76,64,59,60,False,Champagne,259
13,2022-01-02,48,44,35,32,False,Champagne,159
14,2022-01-09,48,37,29,28,False,Champagne,142
15,2022-01-16,43,35,27,26,False,Champagne,131
16,2022-01-23,42,33,26,25,False,Champagne,126
17,2022-01-30,43,35,26,26,False,Champagne,130
18,2022-02-06,44,36,28,28,False,Champagne,136
19,2022-02-13,48,38,30,28,False,Champagne,144
20,2022-02-20,41,35,28,27,False,Champagne,131
21,2022-02-27,38,31,25,25,False,Champagne,119
22,2022-03-06,43,34,27,26,False,Champagne,130
23,2022-03-13,36,33,27,27,False,Champagne,123
24,2022-03-20,38,34,27,25,False,Champagne,124
25,2022-03-27,40,34,27,26,False,Champagne,127
26,2022-04-03,38,33,26,25,False,Champagne,122
27,2022-04-10,40,36,29,27,False,Champagne,132
28,2022-04-17,41,34,27,26,False,Champagne,128
29,2022-04-24,40,34,28,26,False,Champagne,128
30,2022-05-01,38,34,28,26,False,Champagne,126
31,2022-05-08,38,34,27,26,False,Champagne,125
32,2022-05-15,42,34,30,26,False,Champagne,132
33,2022-05-22,38,33,28,26,False,Champagne,125
34,2022-05-29,48,39,33,30,False,Champagne,150
35,2022-06-05,42,35,30,28,False,Champagne,135
36,2022-06-12,41,36,31,28,False,Champagne,136
37,2022-06-19,42,37,30,28,False,Champagne,137
38,2022-06-26,42,38,32,28,False,Champagne,140
39,2022-07-03,40,37,31,28,False,Champagne,136
40,2022-07-10,40,36,30,27,False,Champagne,133
41,2022-07-17,38,33,29,26,False,Champagne,126
42,2022-07-24,41,35,30,27,False,Champagne,133
43,2022-07-31,40,34,29,27,False,Champagne,130
44,2022-08-07,42,37,32,28,False,Champagne,139
45,2022-08-14,39,34,28,25,False,Champagne,126
46,2022-08-21,42,35,28,30,False,Champagne,135
47,2022-08-28,39,34,27,26,False,Champagne,126
48,2022-09-04,38,31,24,23,False,Champagne,116
49,2022-09-11,37,31,24,23,False,Champagne,115
50,2022-09-18,41,32,25,24,False,Champagne,122
51,2022-09-25,40,30,25,24,False,Champagne,119
