,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,46,27,14,10,False,Provence,97
1,2021-10-10,50,30,17,13,False,Provence,110
2,2021-10-17,49,29,16,13,False,Provence,107
3,2021-10-24,50,27,13,14,False,Provence,104
4,2021-10-31,50,27,12,10,False,Provence,99
5,2021-11-07,59,30,13,12,False,Provence,114
6,2021-11-14,51,26,11,10,False,Provence,98
7,2021-11-21,57,28,14,11,False,Provence,110
8,2021-11-28,59,29,14,11,False,Provence,113
9,2021-12-05,62,30,13,12,False,Provence,117
10,2021-12-12,67,31,14,13,False,Provence,125
11,2021-12-19,99,42,19,17,False,Provence,177
12,2021-12-26,64,30,12,12,False,Provence,118
13,2022-01-02,53,32,11,8,False,Provence,104
14,2022-01-09,52,30,12,10,False,Provence,104
15,2022-01-16,45,28,11,10,False,Provence,94
16,2022-01-23,48,27,13,11,False,Provence,99
17,2022-01-30,49,29,12,13,False,Provence,103
18,2022-02-06,47,30,13,12,False,Provence,102
19,2022-02-13,53,35,15,13,False,Provence,116
20,2022-02-20,45,28,15,13,False,Provence,101
21,2022-02-27,56,36,22,23,False,Provence,137
22,2022-03-06,50,33,18,17,False,Provence,118
23,2022-03-13,48,31,17,17,False,Provence,113
24,2022-03-20,45,32,17,14,False,Provence,108
25,2022-03-27,46,31,15,14,False,Provence,106
26,2022-04-03,48,31,14,12,False,Provence,105
27,2022-04-10,48,33,18,15,False,Provence,114
28,2022-04-17,47,32,16,14,False,Provence,109
29,2022-04-24,45,33,17,14,False,Provence,109
30,2022-05-01,44,32,17,13,False,Provence,106
31,2022-05-08,41,31,16,14,False,Provence,102
32,2022-05-15,48,31,20,15,False,Provence,114
33,2022-05-22,43,29,19,16,False,Provence,107
34,2022-05-29,45,32,20,15,False,Provence,112
35,2022-06-05,44,31,18,15,False,Provence,108
36,2022-06-12,42,31,19,16,False,Provence,108
37,2022-06-19,43,29,18,13,False,Provence,103
38,2022-06-26,43,35,23,13,False,Provence,114
39,2022-07-03,43,37,21,15,False,Provence,116
40,2022-07-10,47,42,28,22,False,Provence,139
41,2022-07-17,100,91,78,72,False,Provence,341
42,2022-07-24,84,75,59,53,False,Provence,271
43,2022-07-31,77,64,52,47,False,Provence,240
44,2022-08-07,57,42,31,26,False,Provence,156
45,2022-08-14,49,38,25,20,False,Provence,132
46,2022-08-21,54,38,22,25,False,Provence,139
47,2022-08-28,47,35,20,17,False,Provence,119
48,2022-09-04,45,31,16,14,False,Provence,106
49,2022-09-11,42,29,15,12,False,Provence,98
50,2022-09-18,50,29,15,13,False,Provence,107
51,2022-09-25,47,26,14,12,False,Provence,99
