,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,43,25,12,10,False,Rioja,90
1,2021-10-10,44,24,12,9,False,Rioja,89
2,2021-10-17,43,26,12,9,False,Rioja,90
3,2021-10-24,46,25,11,11,False,Rioja,93
4,2021-10-31,46,25,10,9,False,Rioja,90
5,2021-11-07,55,27,10,9,False,Rioja,101
6,2021-11-14,48,25,11,10,False,Rioja,94
7,2021-11-21,55,28,14,11,False,Rioja,108
8,2021-11-28,57,28,14,11,False,Rioja,110
9,2021-12-05,61,32,16,14,False,Rioja,123
10,2021-12-12,67,35,20,18,False,Rioja,140
11,2021-12-19,100,47,26,23,False,Rioja,196
12,2021-12-26,63,31,16,16,False,Rioja,126
13,2022-01-02,52,30,11,9,False,Rioja,102
14,2022-01-09,48,27,10,8,False,Rioja,93
15,2022-01-16,44,28,13,10,False,Rioja,95
16,2022-01-23,44,25,11,10,False,Rioja,90
17,2022-01-30,47,28,11,12,False,Rioja,98
18,2022-02-06,44,27,11,10,False,Rioja,92
19,2022-02-13,48,30,12,10,False,Rioja,100
20,2022-02-20,39,23,11,9,False,Rioja,82
21,2022-02-27,40,22,9,10,False,Rioja,81
22,2022-03-06,39,23,10,8,False,Rioja,80
23,2022-03-13,38,23,10,10,False,Rioja,81
24,2022-03-20,38,24,11,9,False,Rioja,82
25,2022-03-27,38,25,11,9,False,Rioja,83
26,2022-04-03,42,25,11,8,False,Rioja,86
27,2022-04-10,39,26,12,9,False,Rioja,86
28,2022-04-17,40,24,11,9,False,Rioja,84
29,2022-04-24,37,26,12,9,False,Rioja,84
30,2022-05-01,38,26,12,8,False,Rioja,84
31,2022-05-08,35,26,12,9,False,Rioja,82
32,2022-05-15,39,23,12,7,False,Rioja,81
33,2022-05-22,35,22,12,9,False,Rioja,78
34,2022-05-29,38,25,13,7,False,Rioja,83
35,2022-06-05,37,24,12,8,False,Rioja,81
36,2022-06-12,35,25,14,11,False,Rioja,85
37,2022-06-19,37,26,14,9,False,Rioja,86
38,2022-06-26,36,27,16,7,False,Rioja,86
39,2022-07-03,34,28,14,8,False,Rioja,84
40,2022-07-10,35,26,14,9,False,Rioja,84
41,2022-07-17,35,24,14,7,False,Rioja,80
42,2022-07-24,38,28,14,9,False,Rioja,89
43,2022-07-31,36,25,14,9,False,Rioja,84
44,2022-08-07,38,25,16,9,False,Rioja,88
45,2022-08-14,36,25,14,8,False,Rioja,83
46,2022-08-21,41,27,13,16,False,Rioja,97
47,2022-08-28,38,25,12,8,False,Rioja,83
48,2022-09-04,39,24,10,8,False,Rioja,81
49,2022-09-11,37,24,11,8,False,Rioja,80
50,2022-09-18,44,25,11,10,False,Rioja,90
51,2022-09-25,44,23,12,10,False,Rioja,89
