,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,44,23,8,5,False,Roussillon,80
1,2021-10-10,44,22,7,3,False,Roussillon,76
2,2021-10-17,43,22,7,4,False,Roussillon,76
3,2021-10-24,47,22,7,7,False,Roussillon,83
4,2021-10-31,48,23,6,4,False,Roussillon,81
5,2021-11-07,57,25,5,5,False,Roussillon,92
6,2021-11-14,49,22,5,6,False,Roussillon,82
7,2021-11-21,54,25,8,5,False,Roussillon,92
8,2021-11-28,56,25,8,5,False,Roussillon,94
9,2021-12-05,62,28,9,7,False,Roussillon,106
10,2021-12-12,67,30,11,9,False,Roussillon,117
11,2021-12-19,100,39,15,12,False,Roussillon,166
12,2021-12-26,64,27,9,8,False,Roussillon,108
13,2022-01-02,53,29,6,3,False,Roussillon,91
14,2022-01-09,50,25,6,3,False,Roussillon,84
15,2022-01-16,44,25,7,5,False,Roussillon,81
16,2022-01-23,45,23,7,5,False,Roussillon,80
17,2022-01-30,47,26,6,6,False,Roussillon,85
18,2022-02-06,44,25,6,5,False,Roussillon,80
19,2022-02-13,48,27,7,4,False,Roussillon,86
20,2022-02-20,39,22,7,4,False,Roussillon,72
21,2022-02-27,42,21,6,7,False,Roussillon,76
22,2022-03-06,40,22,6,4,False,Roussillon,72
23,2022-03-13,38,21,6,6,False,Roussillon,71
24,2022-03-20,38,23,6,4,False,Roussillon,71
25,2022-03-27,37,23,6,4,False,Roussillon,70
26,2022-04-03,42,24,7,5,False,Roussillon,78
27,2022-04-10,39,24,9,6,False,Roussillon,78
28,2022-04-17,39,23,7,5,False,Roussillon,74
29,2022-04-24,37,24,8,4,False,Roussillon,73
30,2022-05-01,37,25,9,5,False,Roussillon,76
31,2022-05-08,35,25,8,5,False,Roussillon,73
32,2022-05-15,41,22,9,4,False,Roussillon,76
33,2022-05-22,37,21,9,6,False,Roussillon,73
34,2022-05-29,40,25,11,5,False,Roussillon,81
35,2022-06-05,38,23,9,5,False,Roussillon,75
36,2022-06-12,34,23,10,7,False,Roussillon,74
37,2022-06-19,38,24,10,5,False,Roussillon,77
38,2022-06-26,38,28,15,4,False,Roussillon,85
39,2022-07-03,34,28,11,5,False,Roussillon,78
40,2022-07-10,34,26,11,5,False,Roussillon,76
41,2022-07-17,33,23,12,4,False,Roussillon,72
42,2022-07-24,38,26,11,5,False,Roussillon,80
43,2022-07-31,35,25,11,5,False,Roussillon,76
44,2022-08-07,37,24,13,5,False,Roussillon,79
45,2022-08-14,35,25,11,4,False,Roussillon,75
46,2022-08-21,43,26,11,14,False,Roussillon,94
47,2022-08-28,38,24,8,5,False,Roussillon,75
48,2022-09-04,40,23,7,4,False,Roussillon,74
49,2022-09-11,38,23,6,4,False,Roussillon,71
50,2022-09-18,45,23,7,5,False,Roussillon,80
51,2022-09-25,45,22,9,6,False,Roussillon,82
