,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,41,22,8,6,False,Alsace,77
1,2021-10-10,42,21,8,4,False,Alsace,75
2,2021-10-17,41,21,8,5,False,Alsace,75
3,2021-10-24,44,22,7,7,False,Alsace,80
4,2021-10-31,45,22,7,5,False,Alsace,79
5,2021-11-07,53,24,5,5,False,Alsace,87
6,2021-11-14,46,21,6,5,False,Alsace,78
7,2021-11-21,51,23,8,6,False,Alsace,88
8,2021-11-28,54,25,9,6,False,Alsace,94
9,2021-12-05,58,27,10,7,False,Alsace,102
10,2021-12-12,63,29,12,9,False,Alsace,113
11,2021-12-19,100,42,20,18,False,Alsace,180
12,2021-12-26,62,28,11,10,False,Alsace,111
13,2022-01-02,50,28,7,5,False,Alsace,90
14,2022-01-09,47,24,6,4,False,Alsace,81
15,2022-01-16,41,24,7,5,False,Alsace,77
16,2022-01-23,43,22,7,5,False,Alsace,77
17,2022-01-30,44,25,7,7,False,Alsace,83
18,2022-02-06,41,24,6,5,False,Alsace,76
19,2022-02-13,46,25,8,5,False,Alsace,84
20,2022-02-20,37,22,7,5,False,Alsace,71
21,2022-02-27,39,20,6,7,False,Alsace,72
22,2022-03-06,38,22,7,5,False,Alsace,72
23,2022-03-13,36,20,7,7,False,Alsace,70
24,2022-03-20,36,22,7,5,False,Alsace,70
25,2022-03-27,36,22,7,5,False,Alsace,70
26,2022-04-03,40,23,7,5,False,Alsace,75
27,2022-04-10,39,24,9,6,False,Alsace,78
28,2022-04-17,37,23,8,6,False,Alsace,74
29,2022-04-24,35,23,8,5,False,Alsace,71
30,2022-05-01,36,24,10,5,False,Alsace,75
31,2022-05-08,35,24,10,6,False,Alsace,75
32,2022-05-15,39,22,10,5,False,Alsace,76
33,2022-05-22,34,20,9,6,False,Alsace,69
34,2022-05-29,38,24,11,5,False,Alsace,78
35,2022-06-05,37,22,10,6,False,Alsace,75
36,2022-06-12,33,22,10,7,False,Alsace,72
37,2022-06-19,35,23,10,5,False,Alsace,73
38,2022-06-26,36,26,15,5,False,Alsace,82
39,2022-07-03,32,26,12,5,False,Alsace,75
40,2022-07-10,32,24,12,6,False,Alsace,74
41,2022-07-17,31,22,12,5,False,Alsace,70
42,2022-07-24,36,26,11,5,False,Alsace,78
43,2022-07-31,36,24,12,6,False,Alsace,78
44,2022-08-07,37,23,13,6,False,Alsace,79
45,2022-08-14,35,23,11,5,False,Alsace,74
46,2022-08-21,42,26,11,14,False,Alsace,93
47,2022-08-28,37,23,9,5,False,Alsace,74
48,2022-09-04,39,24,9,7,False,Alsace,79
49,2022-09-11,37,22,7,4,False,Alsace,70
50,2022-09-18,43,23,8,6,False,Alsace,80
51,2022-09-25,42,21,8,6,False,Alsace,77
