,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,50,31,19,25,False,Bordeaux,125
1,2021-10-10,50,30,18,24,False,Bordeaux,122
2,2021-10-17,53,32,20,26,False,Bordeaux,131
3,2021-10-24,54,30,18,27,False,Bordeaux,129
4,2021-10-31,64,41,26,32,False,Bordeaux,163
5,2021-11-07,64,37,20,29,False,Bordeaux,150
6,2021-11-14,57,31,18,28,False,Bordeaux,134
7,2021-11-21,60,34,19,27,False,Bordeaux,140
8,2021-11-28,61,33,19,28,False,Bordeaux,141
9,2021-12-05,70,40,23,31,False,Bordeaux,164
10,2021-12-12,69,39,21,33,False,Bordeaux,162
11,2021-12-19,100,49,27,36,False,Bordeaux,212
12,2021-12-26,72,39,22,33,False,Bordeaux,166
13,2022-01-02,67,44,24,31,False,Bordeaux,166
14,2022-01-09,58,34,19,26,False,Bordeaux,137
15,2022-01-16,55,39,22,28,False,Bordeaux,144
16,2022-01-23,54,36,21,28,False,Bordeaux,139
17,2022-01-30,57,39,22,31,False,Bordeaux,149
18,2022-02-06,55,38,21,29,False,Bordeaux,143
19,2022-02-13,58,40,22,30,False,Bordeaux,150
20,2022-02-20,50,35,21,28,False,Bordeaux,134
21,2022-02-27,54,34,21,31,False,Bordeaux,140
22,2022-03-06,50,35,21,31,False,Bordeaux,137
23,2022-03-13,58,43,30,40,False,Bordeaux,171
24,2022-03-20,51,39,24,31,False,Bordeaux,145
25,2022-03-27,52,39,23,32,False,Bordeaux,146
26,2022-04-03,57,41,25,33,False,Bordeaux,156
27,2022-04-10,54,39,25,33,False,Bordeaux,151
28,2022-04-17,57,43,28,36,False,Bordeaux,164
29,2022-04-24,50,41,24,32,False,Bordeaux,147
30,2022-05-01,52,39,25,32,False,Bordeaux,148
31,2022-05-08,50,42,28,35,False,Bordeaux,155
32,2022-05-15,58,41,29,36,False,Bordeaux,164
33,2022-05-22,52,39,28,35,False,Bordeaux,154
34,2022-05-29,56,42,28,35,False,Bordeaux,161
35,2022-06-05,55,42,29,38,False,Bordeaux,164
36,2022-06-12,59,49,37,45,False,Bordeaux,190
37,2022-06-19,55,43,31,39,False,Bordeaux,168
38,2022-06-26,55,46,36,36,False,Bordeaux,173
39,2022-07-03,52,44,31,36,False,Bordeaux,163
40,2022-07-10,56,48,36,44,False,Bordeaux,184
41,2022-07-17,59,49,38,46,False,Bordeaux,192
42,2022-07-24,56,47,31,39,False,Bordeaux,173
43,2022-07-31,55,43,31,39,False,Bordeaux,168
44,2022-08-07,61,48,39,48,False,Bordeaux,196
45,2022-08-14,54,43,31,38,False,Bordeaux,166
46,2022-08-21,59,45,31,45,False,Bordeaux,180
47,2022-08-28,54,42,29,38,False,Bordeaux,163
48,2022-09-04,54,40,25,35,False,Bordeaux,154
49,2022-09-11,54,39,25,32,False,Bordeaux,150
50,2022-09-18,57,37,23,33,False,Bordeaux,150
51,2022-09-25,58,39,26,36,False,Bordeaux,159
