,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,43,22,7,4,False,Burgund,76
1,2021-10-10,44,22,7,3,False,Burgund,76
2,2021-10-17,43,22,7,4,False,Burgund,76
3,2021-10-24,47,22,6,6,False,Burgund,81
4,2021-10-31,47,22,7,4,False,Burgund,80
5,2021-11-07,56,25,5,4,False,Burgund,90
6,2021-11-14,49,22,6,5,False,Burgund,82
7,2021-11-21,54,24,8,5,False,Burgund,91
8,2021-11-28,55,25,8,5,False,Burgund,93
9,2021-12-05,61,27,8,6,False,Burgund,102
10,2021-12-12,66,29,11,9,False,Burgund,115
11,2021-12-19,100,39,14,11,False,Burgund,164
12,2021-12-26,63,26,8,7,False,Burgund,104
13,2022-01-02,52,28,7,3,False,Burgund,90
14,2022-01-09,49,25,5,3,False,Burgund,82
15,2022-01-16,42,25,7,4,False,Burgund,78
16,2022-01-23,44,23,7,5,False,Burgund,79
17,2022-01-30,46,26,6,6,False,Burgund,84
18,2022-02-06,43,25,6,4,False,Burgund,78
19,2022-02-13,48,26,7,4,False,Burgund,85
20,2022-02-20,39,22,6,4,False,Burgund,71
21,2022-02-27,41,20,6,6,False,Burgund,73
22,2022-03-06,39,22,6,4,False,Burgund,71
23,2022-03-13,37,21,6,6,False,Burgund,70
24,2022-03-20,38,23,6,4,False,Burgund,71
25,2022-03-27,37,24,6,4,False,Burgund,71
26,2022-04-03,42,24,6,4,False,Burgund,76
27,2022-04-10,40,25,8,5,False,Burgund,78
28,2022-04-17,38,23,7,5,False,Burgund,73
29,2022-04-24,36,23,7,4,False,Burgund,70
30,2022-05-01,37,24,9,4,False,Burgund,74
31,2022-05-08,35,24,8,5,False,Burgund,72
32,2022-05-15,40,22,9,4,False,Burgund,75
33,2022-05-22,34,21,9,5,False,Burgund,69
34,2022-05-29,39,24,10,4,False,Burgund,77
35,2022-06-05,37,22,8,4,False,Burgund,71
36,2022-06-12,33,22,9,6,False,Burgund,70
37,2022-06-19,35,23,9,4,False,Burgund,71
38,2022-06-26,34,26,14,4,False,Burgund,78
39,2022-07-03,33,27,11,4,False,Burgund,75
40,2022-07-10,32,25,11,4,False,Burgund,72
41,2022-07-17,32,22,11,3,False,Burgund,68
42,2022-07-24,35,25,10,4,False,Burgund,74
43,2022-07-31,35,24,10,4,False,Burgund,73
44,2022-08-07,36,24,12,5,False,Burgund,77
45,2022-08-14,35,24,10,4,False,Burgund,73
46,2022-08-21,42,26,9,13,False,Burgund,90
47,2022-08-28,38,24,8,4,False,Burgund,74
48,2022-09-04,39,23,6,4,False,Burgund,72
49,2022-09-11,35,22,6,3,False,Burgund,66
50,2022-09-18,45,23,7,5,False,Burgund,80
51,2022-09-25,44,21,8,5,False,Burgund,78
