,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,43,22,7,4,False,Castilla_y_Leon,76
1,2021-10-10,44,22,7,3,False,Castilla_y_Leon,76
2,2021-10-17,43,21,6,3,False,Castilla_y_Leon,73
3,2021-10-24,47,21,7,6,False,Castilla_y_Leon,81
4,2021-10-31,47,22,6,4,False,Castilla_y_Leon,79
5,2021-11-07,56,24,5,4,False,Castilla_y_Leon,89
6,2021-11-14,48,22,6,5,False,Castilla_y_Leon,81
7,2021-11-21,54,24,8,5,False,Castilla_y_Leon,91
8,2021-11-28,55,25,8,4,False,Castilla_y_Leon,92
9,2021-12-05,60,27,8,6,False,Castilla_y_Leon,101
10,2021-12-12,66,30,10,8,False,Castilla_y_Leon,114
11,2021-12-19,100,39,14,12,False,Castilla_y_Leon,165
12,2021-12-26,63,26,8,7,False,Castilla_y_Leon,104
13,2022-01-02,53,28,6,3,False,Castilla_y_Leon,90
14,2022-01-09,49,25,6,3,False,Castilla_y_Leon,83
15,2022-01-16,43,25,6,4,False,Castilla_y_Leon,78
16,2022-01-23,45,23,6,5,False,Castilla_y_Leon,79
17,2022-01-30,46,25,6,6,False,Castilla_y_Leon,83
18,2022-02-06,43,24,6,4,False,Castilla_y_Leon,77
19,2022-02-13,47,26,7,4,False,Castilla_y_Leon,84
20,2022-02-20,39,22,6,4,False,Castilla_y_Leon,71
21,2022-02-27,41,20,5,7,False,Castilla_y_Leon,73
22,2022-03-06,39,22,6,4,False,Castilla_y_Leon,71
23,2022-03-13,37,21,6,6,False,Castilla_y_Leon,70
24,2022-03-20,38,23,6,4,False,Castilla_y_Leon,71
25,2022-03-27,37,23,6,4,False,Castilla_y_Leon,70
26,2022-04-03,42,24,6,5,False,Castilla_y_Leon,77
27,2022-04-10,39,24,8,5,False,Castilla_y_Leon,76
28,2022-04-17,39,23,7,5,False,Castilla_y_Leon,74
29,2022-04-24,37,24,7,4,False,Castilla_y_Leon,72
30,2022-05-01,37,24,9,4,False,Castilla_y_Leon,74
31,2022-05-08,34,24,8,4,False,Castilla_y_Leon,70
32,2022-05-15,39,21,9,4,False,Castilla_y_Leon,73
33,2022-05-22,34,21,8,6,False,Castilla_y_Leon,69
34,2022-05-29,39,24,10,4,False,Castilla_y_Leon,77
35,2022-06-05,36,23,8,4,False,Castilla_y_Leon,71
36,2022-06-12,33,22,9,6,False,Castilla_y_Leon,70
37,2022-06-19,34,22,10,4,False,Castilla_y_Leon,70
38,2022-06-26,34,27,14,4,False,Castilla_y_Leon,79
39,2022-07-03,33,27,11,4,False,Castilla_y_Leon,75
40,2022-07-10,32,25,11,4,False,Castilla_y_Leon,72
41,2022-07-17,33,22,11,3,False,Castilla_y_Leon,69
42,2022-07-24,35,26,10,4,False,Castilla_y_Leon,75
43,2022-07-31,34,24,10,4,False,Castilla_y_Leon,72
44,2022-08-07,35,22,12,5,False,Castilla_y_Leon,74
45,2022-08-14,35,24,11,4,False,Castilla_y_Leon,74
46,2022-08-21,43,26,9,13,False,Castilla_y_Leon,91
47,2022-08-28,38,24,8,4,False,Castilla_y_Leon,74
48,2022-09-04,39,22,6,4,False,Castilla_y_Leon,71
49,2022-09-11,35,21,6,3,False,Castilla_y_Leon,65
50,2022-09-18,45,23,7,5,False,Castilla_y_Leon,80
51,2022-09-25,43,21,8,5,False,Castilla_y_Leon,77
