,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,43,23,7,4,False,Castilla_y_Léon,77
1,2021-10-10,44,21,7,3,False,Castilla_y_Léon,75
2,2021-10-17,44,22,7,4,False,Castilla_y_Léon,77
3,2021-10-24,47,22,7,6,False,Castilla_y_Léon,82
4,2021-10-31,48,22,6,4,False,Castilla_y_Léon,80
5,2021-11-07,57,25,5,4,False,Castilla_y_Léon,91
6,2021-11-14,49,22,6,5,False,Castilla_y_Léon,82
7,2021-11-21,54,24,8,5,False,Castilla_y_Léon,91
8,2021-11-28,55,25,8,5,False,Castilla_y_Léon,93
9,2021-12-05,61,28,9,6,False,Castilla_y_Léon,104
10,2021-12-12,67,30,11,9,False,Castilla_y_Léon,117
11,2021-12-19,100,39,14,11,False,Castilla_y_Léon,164
12,2021-12-26,64,27,8,7,False,Castilla_y_Léon,106
13,2022-01-02,53,29,6,3,False,Castilla_y_Léon,91
14,2022-01-09,50,25,5,2,False,Castilla_y_Léon,82
15,2022-01-16,44,25,7,4,False,Castilla_y_Léon,80
16,2022-01-23,45,23,7,5,False,Castilla_y_Léon,80
17,2022-01-30,47,26,6,6,False,Castilla_y_Léon,85
18,2022-02-06,43,25,6,4,False,Castilla_y_Léon,78
19,2022-02-13,48,27,6,4,False,Castilla_y_Léon,85
20,2022-02-20,39,22,6,4,False,Castilla_y_Léon,71
21,2022-02-27,42,21,5,7,False,Castilla_y_Léon,75
22,2022-03-06,39,22,6,4,False,Castilla_y_Léon,71
23,2022-03-13,38,21,6,6,False,Castilla_y_Léon,71
24,2022-03-20,38,23,7,4,False,Castilla_y_Léon,72
25,2022-03-27,38,23,6,4,False,Castilla_y_Léon,71
26,2022-04-03,43,24,7,4,False,Castilla_y_Léon,78
27,2022-04-10,40,25,8,5,False,Castilla_y_Léon,78
28,2022-04-17,39,24,7,5,False,Castilla_y_Léon,75
29,2022-04-24,37,24,7,3,False,Castilla_y_Léon,71
30,2022-05-01,37,25,9,4,False,Castilla_y_Léon,75
31,2022-05-08,35,24,8,5,False,Castilla_y_Léon,72
32,2022-05-15,40,22,10,4,False,Castilla_y_Léon,76
33,2022-05-22,35,21,9,5,False,Castilla_y_Léon,70
34,2022-05-29,39,25,10,4,False,Castilla_y_Léon,78
35,2022-06-05,37,23,9,4,False,Castilla_y_Léon,73
36,2022-06-12,34,22,9,6,False,Castilla_y_Léon,71
37,2022-06-19,35,23,10,4,False,Castilla_y_Léon,72
38,2022-06-26,34,27,14,4,False,Castilla_y_Léon,79
39,2022-07-03,34,27,11,4,False,Castilla_y_Léon,76
40,2022-07-10,33,25,11,4,False,Castilla_y_Léon,73
41,2022-07-17,33,23,11,3,False,Castilla_y_Léon,70
42,2022-07-24,35,26,10,4,False,Castilla_y_Léon,75
43,2022-07-31,34,24,10,4,False,Castilla_y_Léon,72
44,2022-08-07,36,23,12,5,False,Castilla_y_Léon,76
45,2022-08-14,35,23,10,4,False,Castilla_y_Léon,72
46,2022-08-21,43,26,10,13,False,Castilla_y_Léon,92
47,2022-08-28,38,24,8,5,False,Castilla_y_Léon,75
48,2022-09-04,40,23,6,4,False,Castilla_y_Léon,73
49,2022-09-11,36,22,6,3,False,Castilla_y_Léon,67
50,2022-09-18,45,23,7,4,False,Castilla_y_Léon,79
51,2022-09-25,44,22,8,5,False,Castilla_y_Léon,79
