,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,45,25,11,8,False,Catalonia,89
1,2021-10-10,45,23,9,6,False,Catalonia,83
2,2021-10-17,44,24,9,7,False,Catalonia,84
3,2021-10-24,48,24,9,9,False,Catalonia,90
4,2021-10-31,48,25,9,7,False,Catalonia,89
5,2021-11-07,57,27,8,7,False,Catalonia,99
6,2021-11-14,49,24,9,8,False,Catalonia,90
7,2021-11-21,55,26,11,7,False,Catalonia,99
8,2021-11-28,56,25,9,6,False,Catalonia,96
9,2021-12-05,60,29,10,8,False,Catalonia,107
10,2021-12-12,66,31,12,10,False,Catalonia,119
11,2021-12-19,100,41,17,14,False,Catalonia,172
12,2021-12-26,64,28,11,10,False,Catalonia,113
13,2022-01-02,54,31,9,6,False,Catalonia,100
14,2022-01-09,51,27,10,7,False,Catalonia,95
15,2022-01-16,46,27,10,8,False,Catalonia,91
16,2022-01-23,49,26,11,10,False,Catalonia,96
17,2022-01-30,48,27,9,9,False,Catalonia,93
18,2022-02-06,46,28,10,8,False,Catalonia,92
19,2022-02-13,50,30,10,8,False,Catalonia,98
20,2022-02-20,42,27,12,9,False,Catalonia,90
21,2022-02-27,44,24,10,11,False,Catalonia,89
22,2022-03-06,42,25,10,8,False,Catalonia,85
23,2022-03-13,41,24,12,11,False,Catalonia,88
24,2022-03-20,43,27,12,9,False,Catalonia,91
25,2022-03-27,41,27,11,9,False,Catalonia,88
26,2022-04-03,47,28,11,9,False,Catalonia,95
27,2022-04-10,44,28,14,11,False,Catalonia,97
28,2022-04-17,44,27,12,9,False,Catalonia,92
29,2022-04-24,41,28,13,9,False,Catalonia,91
30,2022-05-01,41,31,15,10,False,Catalonia,97
31,2022-05-08,39,28,14,10,False,Catalonia,91
32,2022-05-15,42,25,14,8,False,Catalonia,89
33,2022-05-22,42,27,16,13,False,Catalonia,98
34,2022-05-29,42,28,14,9,False,Catalonia,93
35,2022-06-05,42,27,14,10,False,Catalonia,93
36,2022-06-12,40,27,15,12,False,Catalonia,94
37,2022-06-19,40,27,15,11,False,Catalonia,93
38,2022-06-26,41,31,20,10,False,Catalonia,102
39,2022-07-03,38,31,15,9,False,Catalonia,93
40,2022-07-10,35,28,15,9,False,Catalonia,87
41,2022-07-17,39,27,16,9,False,Catalonia,91
42,2022-07-24,41,30,14,9,False,Catalonia,94
43,2022-07-31,40,28,15,9,False,Catalonia,92
44,2022-08-07,41,27,18,11,False,Catalonia,97
45,2022-08-14,39,27,15,8,False,Catalonia,89
46,2022-08-21,45,29,14,17,False,Catalonia,105
47,2022-08-28,42,30,14,11,False,Catalonia,97
48,2022-09-04,42,26,11,9,False,Catalonia,88
49,2022-09-11,42,27,12,9,False,Catalonia,90
50,2022-09-18,48,27,12,9,False,Catalonia,96
51,2022-09-25,48,25,13,11,False,Catalonia,97
