,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,43,34,28,27,False,Champagne,132
1,2021-10-10,43,33,27,26,False,Champagne,129
2,2021-10-17,42,33,27,26,False,Champagne,128
3,2021-10-24,45,34,28,28,False,Champagne,135
4,2021-10-31,46,35,28,28,False,Champagne,137
5,2021-11-07,49,41,33,33,False,Champagne,156
6,2021-11-14,49,38,33,33,False,Champagne,153
7,2021-11-21,56,42,36,35,False,Champagne,169
8,2021-11-28,59,44,38,37,False,Champagne,178
9,2021-12-05,62,53,44,43,False,Champagne,202
10,2021-12-12,75,59,51,52,False,Champagne,237
11,2021-12-19,100,78,76,69,False,Champagne,323
12,2021-12-26,82,61,62,58,False,Champagne,263
13,2022-01-02,53,43,35,32,False,Champagne,163
14,2022-01-09,47,37,29,28,False,Champagne,141
15,2022-01-16,43,35,27,27,False,Champagne,132
16,2022-01-23,43,34,26,25,False,Champagne,128
17,2022-01-30,43,34,26,26,False,Champagne,129
18,2022-02-06,44,36,29,28,False,Champagne,137
19,2022-02-13,44,38,30,28,False,Champagne,140
20,2022-02-20,44,35,28,27,False,Champagne,134
21,2022-02-27,39,30,24,26,False,Champagne,119
22,2022-03-06,41,34,27,26,False,Champagne,128
23,2022-03-13,37,33,27,27,False,Champagne,124
24,2022-03-20,42,34,26,25,False,Champagne,127
25,2022-03-27,39,34,27,27,False,Champagne,127
26,2022-04-03,42,33,26,25,False,Champagne,126
27,2022-04-10,39,36,29,27,False,Champagne,131
28,2022-04-17,39,34,27,26,False,Champagne,126
29,2022-04-24,38,35,28,26,False,Champagne,127
30,2022-05-01,35,35,28,26,False,Champagne,124
31,2022-05-08,37,34,27,26,False,Champagne,124
32,2022-05-15,40,34,29,26,False,Champagne,129
33,2022-05-22,39,33,28,27,False,Champagne,127
34,2022-05-29,46,39,33,30,False,Champagne,148
35,2022-06-05,41,36,30,28,False,Champagne,135
36,2022-06-12,40,36,30,28,False,Champagne,134
37,2022-06-19,42,36,30,28,False,Champagne,136
38,2022-06-26,42,37,32,28,False,Champagne,139
39,2022-07-03,40,38,31,28,False,Champagne,137
40,2022-07-10,39,37,31,27,False,Champagne,134
41,2022-07-17,38,33,28,26,False,Champagne,125
42,2022-07-24,41,35,29,27,False,Champagne,132
43,2022-07-31,39,35,29,27,False,Champagne,130
44,2022-08-07,41,35,32,28,False,Champagne,136
45,2022-08-14,39,34,28,26,False,Champagne,127
46,2022-08-21,42,35,28,30,False,Champagne,135
47,2022-08-28,40,34,27,26,False,Champagne,127
48,2022-09-04,37,31,24,23,False,Champagne,115
49,2022-09-11,38,32,25,23,False,Champagne,118
50,2022-09-18,41,32,25,24,False,Champagne,122
51,2022-09-25,40,30,25,24,False,Champagne,119
