,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,44,25,12,9,False,Jura,90
1,2021-10-10,44,24,11,8,False,Jura,87
2,2021-10-17,45,25,11,9,False,Jura,90
3,2021-10-24,49,27,14,13,False,Jura,103
4,2021-10-31,50,27,13,11,False,Jura,101
5,2021-11-07,57,30,12,11,False,Jura,110
6,2021-11-14,51,27,13,13,False,Jura,104
7,2021-11-21,57,28,15,12,False,Jura,112
8,2021-11-28,59,30,16,12,False,Jura,117
9,2021-12-05,63,32,16,14,False,Jura,125
10,2021-12-12,68,35,18,16,False,Jura,137
11,2021-12-19,100,46,23,20,False,Jura,189
12,2021-12-26,63,31,15,14,False,Jura,123
13,2022-01-02,54,32,13,11,False,Jura,110
14,2022-01-09,50,28,11,9,False,Jura,98
15,2022-01-16,44,27,11,10,False,Jura,92
16,2022-01-23,45,25,12,10,False,Jura,92
17,2022-01-30,47,28,11,11,False,Jura,97
18,2022-02-06,45,28,12,11,False,Jura,96
19,2022-02-13,50,31,13,10,False,Jura,104
20,2022-02-20,40,25,11,9,False,Jura,85
21,2022-02-27,42,23,10,11,False,Jura,86
22,2022-03-06,41,25,11,9,False,Jura,86
23,2022-03-13,39,23,11,11,False,Jura,84
24,2022-03-20,39,26,11,9,False,Jura,85
25,2022-03-27,41,26,11,9,False,Jura,87
26,2022-04-03,45,28,12,10,False,Jura,95
27,2022-04-10,42,28,14,11,False,Jura,95
28,2022-04-17,43,29,13,12,False,Jura,97
29,2022-04-24,38,26,12,9,False,Jura,85
30,2022-05-01,40,29,14,10,False,Jura,93
31,2022-05-08,37,27,14,11,False,Jura,89
32,2022-05-15,42,27,15,11,False,Jura,95
33,2022-05-22,38,24,14,11,False,Jura,87
34,2022-05-29,42,28,16,10,False,Jura,96
35,2022-06-05,38,26,13,10,False,Jura,87
36,2022-06-12,39,26,16,13,False,Jura,94
37,2022-06-19,40,28,16,12,False,Jura,96
38,2022-06-26,40,29,19,10,False,Jura,98
39,2022-07-03,37,30,16,10,False,Jura,93
40,2022-07-10,37,29,17,11,False,Jura,94
41,2022-07-17,35,25,16,9,False,Jura,85
42,2022-07-24,38,29,15,10,False,Jura,92
43,2022-07-31,39,27,16,10,False,Jura,92
44,2022-08-07,40,27,18,11,False,Jura,96
45,2022-08-14,39,28,16,10,False,Jura,93
46,2022-08-21,43,29,15,17,False,Jura,104
47,2022-08-28,40,27,13,9,False,Jura,89
48,2022-09-04,41,25,10,8,False,Jura,84
49,2022-09-11,41,26,12,10,False,Jura,89
50,2022-09-18,46,27,13,11,False,Jura,97
51,2022-09-25,47,26,14,12,False,Jura,99
