,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,44,23,8,16,False,Piemonte,91
1,2021-10-10,45,22,8,14,False,Piemonte,89
2,2021-10-17,44,23,8,15,False,Piemonte,90
3,2021-10-24,47,23,8,19,False,Piemonte,97
4,2021-10-31,47,23,7,15,False,Piemonte,92
5,2021-11-07,57,25,6,16,False,Piemonte,104
6,2021-11-14,49,23,6,18,False,Piemonte,96
7,2021-11-21,53,25,9,19,False,Piemonte,106
8,2021-11-28,56,26,9,21,False,Piemonte,112
9,2021-12-05,61,29,10,21,False,Piemonte,121
10,2021-12-12,67,30,12,24,False,Piemonte,133
11,2021-12-19,100,39,16,28,False,Piemonte,183
12,2021-12-26,64,27,9,22,False,Piemonte,122
13,2022-01-02,53,29,7,17,False,Piemonte,106
14,2022-01-09,50,26,6,15,False,Piemonte,97
15,2022-01-16,43,25,7,14,False,Piemonte,89
16,2022-01-23,45,23,8,16,False,Piemonte,92
17,2022-01-30,47,26,7,18,False,Piemonte,98
18,2022-02-06,43,25,6,16,False,Piemonte,90
19,2022-02-13,49,27,7,16,False,Piemonte,99
20,2022-02-20,40,23,8,15,False,Piemonte,86
21,2022-02-27,43,21,6,18,False,Piemonte,88
22,2022-03-06,40,22,7,16,False,Piemonte,85
23,2022-03-13,38,21,7,19,False,Piemonte,85
24,2022-03-20,38,23,7,14,False,Piemonte,82
25,2022-03-27,38,24,7,15,False,Piemonte,84
26,2022-04-03,42,24,7,16,False,Piemonte,89
27,2022-04-10,41,25,9,17,False,Piemonte,92
28,2022-04-17,39,24,8,17,False,Piemonte,88
29,2022-04-24,37,24,8,16,False,Piemonte,85
30,2022-05-01,38,25,10,17,False,Piemonte,90
31,2022-05-08,35,24,9,16,False,Piemonte,84
32,2022-05-15,41,23,10,16,False,Piemonte,90
33,2022-05-22,37,21,10,19,False,Piemonte,87
34,2022-05-29,40,25,11,18,False,Piemonte,94
35,2022-06-05,38,23,9,19,False,Piemonte,89
36,2022-06-12,34,24,10,20,False,Piemonte,88
37,2022-06-19,38,24,11,19,False,Piemonte,92
38,2022-06-26,37,27,14,15,False,Piemonte,93
39,2022-07-03,34,28,12,17,False,Piemonte,91
40,2022-07-10,34,27,13,22,False,Piemonte,96
41,2022-07-17,33,23,11,21,False,Piemonte,88
42,2022-07-24,39,26,11,19,False,Piemonte,95
43,2022-07-31,35,25,12,19,False,Piemonte,91
44,2022-08-07,37,24,13,24,False,Piemonte,98
45,2022-08-14,34,24,11,19,False,Piemonte,88
46,2022-08-21,44,27,11,28,False,Piemonte,110
47,2022-08-28,39,24,9,19,False,Piemonte,91
48,2022-09-04,39,23,7,17,False,Piemonte,86
49,2022-09-11,39,23,7,16,False,Piemonte,85
50,2022-09-18,45,23,8,17,False,Piemonte,93
51,2022-09-25,44,22,8,19,False,Piemonte,93
