,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,43,22,8,5,False,Rhône,78
1,2021-10-10,44,21,7,3,False,Rhône,75
2,2021-10-17,44,22,7,4,False,Rhône,77
3,2021-10-24,47,22,7,7,False,Rhône,83
4,2021-10-31,48,23,6,4,False,Rhône,81
5,2021-11-07,57,25,5,4,False,Rhône,91
6,2021-11-14,49,22,6,5,False,Rhône,82
7,2021-11-21,54,25,8,5,False,Rhône,92
8,2021-11-28,55,25,8,4,False,Rhône,92
9,2021-12-05,61,28,9,7,False,Rhône,105
10,2021-12-12,67,31,11,9,False,Rhône,118
11,2021-12-19,100,39,14,12,False,Rhône,165
12,2021-12-26,64,27,8,7,False,Rhône,106
13,2022-01-02,52,29,6,4,False,Rhône,91
14,2022-01-09,50,25,5,3,False,Rhône,83
15,2022-01-16,44,26,7,5,False,Rhône,82
16,2022-01-23,45,23,7,5,False,Rhône,80
17,2022-01-30,46,25,6,6,False,Rhône,83
18,2022-02-06,43,25,6,4,False,Rhône,78
19,2022-02-13,48,27,7,4,False,Rhône,86
20,2022-02-20,39,22,7,4,False,Rhône,72
21,2022-02-27,42,21,6,7,False,Rhône,76
22,2022-03-06,39,22,6,4,False,Rhône,71
23,2022-03-13,37,21,6,6,False,Rhône,70
24,2022-03-20,38,23,7,4,False,Rhône,72
25,2022-03-27,38,23,6,4,False,Rhône,71
26,2022-04-03,43,24,7,4,False,Rhône,78
27,2022-04-10,41,26,9,5,False,Rhône,81
28,2022-04-17,39,23,7,5,False,Rhône,74
29,2022-04-24,37,24,7,4,False,Rhône,72
30,2022-05-01,37,25,8,4,False,Rhône,74
31,2022-05-08,35,24,9,5,False,Rhône,73
32,2022-05-15,40,22,9,4,False,Rhône,75
33,2022-05-22,35,21,9,6,False,Rhône,71
34,2022-05-29,40,24,11,4,False,Rhône,79
35,2022-06-05,37,23,8,4,False,Rhône,72
36,2022-06-12,34,23,10,6,False,Rhône,73
37,2022-06-19,35,23,10,4,False,Rhône,72
38,2022-06-26,37,27,13,4,False,Rhône,81
39,2022-07-03,33,27,12,4,False,Rhône,76
40,2022-07-10,32,25,11,4,False,Rhône,72
41,2022-07-17,33,22,11,4,False,Rhône,70
42,2022-07-24,38,26,10,4,False,Rhône,78
43,2022-07-31,35,24,10,5,False,Rhône,74
44,2022-08-07,36,24,12,5,False,Rhône,77
45,2022-08-14,35,24,10,4,False,Rhône,73
46,2022-08-21,43,26,9,13,False,Rhône,91
47,2022-08-28,38,24,8,4,False,Rhône,74
48,2022-09-04,39,23,6,3,False,Rhône,71
49,2022-09-11,38,23,6,3,False,Rhône,70
50,2022-09-18,45,23,7,4,False,Rhône,79
51,2022-09-25,44,22,8,6,False,Rhône,80
