,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,52,32,20,17,False,Sicily,121
1,2021-10-10,50,30,17,14,False,Sicily,111
2,2021-10-17,50,31,18,15,False,Sicily,114
3,2021-10-24,57,32,20,20,False,Sicily,129
4,2021-10-31,52,29,15,13,False,Sicily,109
5,2021-11-07,60,31,14,13,False,Sicily,118
6,2021-11-14,54,28,14,13,False,Sicily,109
7,2021-11-21,59,30,15,13,False,Sicily,117
8,2021-11-28,58,29,14,11,False,Sicily,112
9,2021-12-05,62,31,15,13,False,Sicily,121
10,2021-12-12,68,34,17,15,False,Sicily,134
11,2021-12-19,100,44,21,19,False,Sicily,184
12,2021-12-26,68,35,18,18,False,Sicily,139
13,2022-01-02,66,44,24,21,False,Sicily,155
14,2022-01-09,63,41,23,20,False,Sicily,147
15,2022-01-16,57,41,23,21,False,Sicily,142
16,2022-01-23,59,38,23,22,False,Sicily,142
17,2022-01-30,60,41,22,22,False,Sicily,145
18,2022-02-06,59,42,25,23,False,Sicily,149
19,2022-02-13,63,45,24,22,False,Sicily,154
20,2022-02-20,56,39,25,23,False,Sicily,143
21,2022-02-27,59,38,24,24,False,Sicily,145
22,2022-03-06,57,40,25,24,False,Sicily,146
23,2022-03-13,59,42,28,29,False,Sicily,158
24,2022-03-20,60,46,29,27,False,Sicily,162
25,2022-03-27,61,46,31,29,False,Sicily,167
26,2022-04-03,63,46,30,28,False,Sicily,167
27,2022-04-10,66,52,36,32,False,Sicily,186
28,2022-04-17,67,52,36,34,False,Sicily,189
29,2022-04-24,61,49,33,30,False,Sicily,173
30,2022-05-01,63,51,36,32,False,Sicily,182
31,2022-05-08,59,48,34,31,False,Sicily,172
32,2022-05-15,63,47,36,30,False,Sicily,176
33,2022-05-22,57,43,30,28,False,Sicily,158
34,2022-05-29,61,47,33,28,False,Sicily,169
35,2022-06-05,60,46,32,29,False,Sicily,167
36,2022-06-12,60,50,37,33,False,Sicily,180
37,2022-06-19,57,45,33,28,False,Sicily,163
38,2022-06-26,60,49,38,28,False,Sicily,175
39,2022-07-03,59,52,37,29,False,Sicily,177
40,2022-07-10,58,49,37,30,False,Sicily,174
41,2022-07-17,59,50,38,30,False,Sicily,177
42,2022-07-24,61,49,36,29,False,Sicily,175
43,2022-07-31,60,48,36,29,False,Sicily,173
44,2022-08-07,60,46,38,30,False,Sicily,174
45,2022-08-14,60,49,38,30,False,Sicily,177
46,2022-08-21,69,52,37,40,False,Sicily,198
47,2022-08-28,59,46,32,29,False,Sicily,166
48,2022-09-04,59,43,27,26,False,Sicily,155
49,2022-09-11,57,43,28,26,False,Sicily,154
50,2022-09-18,60,41,26,24,False,Sicily,151
51,2022-09-25,60,39,26,25,False,Sicily,150
