,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,43,23,7,4,False,Trentino,77
1,2021-10-10,44,21,6,3,False,Trentino,74
2,2021-10-17,44,22,7,3,False,Trentino,76
3,2021-10-24,47,22,7,6,False,Trentino,82
4,2021-10-31,48,22,5,4,False,Trentino,79
5,2021-11-07,56,25,5,4,False,Trentino,90
6,2021-11-14,49,21,6,6,False,Trentino,82
7,2021-11-21,54,24,8,5,False,Trentino,91
8,2021-11-28,55,25,8,5,False,Trentino,93
9,2021-12-05,61,28,8,6,False,Trentino,103
10,2021-12-12,67,30,11,9,False,Trentino,117
11,2021-12-19,100,39,15,12,False,Trentino,166
12,2021-12-26,64,27,8,7,False,Trentino,106
13,2022-01-02,53,28,6,3,False,Trentino,90
14,2022-01-09,50,25,5,3,False,Trentino,83
15,2022-01-16,43,25,6,4,False,Trentino,78
16,2022-01-23,45,23,6,5,False,Trentino,79
17,2022-01-30,46,25,6,6,False,Trentino,83
18,2022-02-06,43,24,6,4,False,Trentino,77
19,2022-02-13,48,27,7,4,False,Trentino,86
20,2022-02-20,39,22,6,4,False,Trentino,71
21,2022-02-27,42,21,5,6,False,Trentino,74
22,2022-03-06,40,22,6,4,False,Trentino,72
23,2022-03-13,38,20,6,6,False,Trentino,70
24,2022-03-20,38,23,6,4,False,Trentino,71
25,2022-03-27,38,23,6,4,False,Trentino,71
26,2022-04-03,42,24,6,4,False,Trentino,76
27,2022-04-10,41,25,8,5,False,Trentino,79
28,2022-04-17,39,23,7,5,False,Trentino,74
29,2022-04-24,37,23,7,4,False,Trentino,71
30,2022-05-01,37,25,9,4,False,Trentino,75
31,2022-05-08,35,24,8,5,False,Trentino,72
32,2022-05-15,40,22,9,4,False,Trentino,75
33,2022-05-22,34,21,8,5,False,Trentino,68
34,2022-05-29,39,25,10,4,False,Trentino,78
35,2022-06-05,37,23,8,4,False,Trentino,72
36,2022-06-12,34,22,9,6,False,Trentino,71
37,2022-06-19,35,23,10,5,False,Trentino,73
38,2022-06-26,34,27,14,4,False,Trentino,79
39,2022-07-03,33,27,11,4,False,Trentino,75
40,2022-07-10,32,25,11,4,False,Trentino,72
41,2022-07-17,33,23,11,3,False,Trentino,70
42,2022-07-24,35,26,10,4,False,Trentino,75
43,2022-07-31,34,24,10,4,False,Trentino,72
44,2022-08-07,37,23,12,5,False,Trentino,77
45,2022-08-14,34,24,10,4,False,Trentino,72
46,2022-08-21,42,26,10,13,False,Trentino,91
47,2022-08-28,38,23,8,4,False,Trentino,73
48,2022-09-04,39,22,6,4,False,Trentino,71
49,2022-09-11,36,22,6,3,False,Trentino,67
50,2022-09-18,45,22,7,5,False,Trentino,79
51,2022-09-25,44,21,8,5,False,Trentino,78
