,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,45,26,12,10,False,Tuscany,93
1,2021-10-10,46,26,12,9,False,Tuscany,93
2,2021-10-17,46,26,12,9,False,Tuscany,93
3,2021-10-24,48,26,12,12,False,Tuscany,98
4,2021-10-31,50,26,11,9,False,Tuscany,96
5,2021-11-07,58,28,10,8,False,Tuscany,104
6,2021-11-14,51,24,10,10,False,Tuscany,95
7,2021-11-21,56,26,11,9,False,Tuscany,102
8,2021-11-28,57,27,11,8,False,Tuscany,103
9,2021-12-05,63,31,14,11,False,Tuscany,119
10,2021-12-12,67,32,14,12,False,Tuscany,125
11,2021-12-19,100,41,17,16,False,Tuscany,174
12,2021-12-26,67,31,14,13,False,Tuscany,125
13,2022-01-02,57,34,14,11,False,Tuscany,116
14,2022-01-09,55,31,14,12,False,Tuscany,112
15,2022-01-16,50,31,15,14,False,Tuscany,110
16,2022-01-23,48,28,13,12,False,Tuscany,101
17,2022-01-30,51,32,14,14,False,Tuscany,111
18,2022-02-06,48,30,13,12,False,Tuscany,103
19,2022-02-13,55,36,16,14,False,Tuscany,121
20,2022-02-20,47,29,15,13,False,Tuscany,104
21,2022-02-27,49,28,15,16,False,Tuscany,108
22,2022-03-06,45,28,14,12,False,Tuscany,99
23,2022-03-13,44,28,15,15,False,Tuscany,102
24,2022-03-20,45,32,15,13,False,Tuscany,105
25,2022-03-27,47,33,16,14,False,Tuscany,110
26,2022-04-03,53,35,18,16,False,Tuscany,122
27,2022-04-10,52,37,20,17,False,Tuscany,126
28,2022-04-17,50,35,19,17,False,Tuscany,121
29,2022-04-24,47,34,18,15,False,Tuscany,114
30,2022-05-01,48,35,19,16,False,Tuscany,118
31,2022-05-08,44,33,18,15,False,Tuscany,110
32,2022-05-15,48,30,19,14,False,Tuscany,111
33,2022-05-22,46,31,20,17,False,Tuscany,114
34,2022-05-29,51,36,23,17,False,Tuscany,127
35,2022-06-05,45,31,19,15,False,Tuscany,110
36,2022-06-12,46,33,21,19,False,Tuscany,119
37,2022-06-19,46,34,21,17,False,Tuscany,118
38,2022-06-26,45,37,23,15,False,Tuscany,120
39,2022-07-03,44,38,23,17,False,Tuscany,122
40,2022-07-10,44,35,22,17,False,Tuscany,118
41,2022-07-17,45,32,22,15,False,Tuscany,114
42,2022-07-24,47,37,22,16,False,Tuscany,122
43,2022-07-31,44,32,21,15,False,Tuscany,112
44,2022-08-07,48,33,24,18,False,Tuscany,123
45,2022-08-14,45,33,21,16,False,Tuscany,115
46,2022-08-21,50,35,21,23,False,Tuscany,129
47,2022-08-28,45,32,17,13,False,Tuscany,107
48,2022-09-04,47,31,16,14,False,Tuscany,108
49,2022-09-11,46,30,15,12,False,Tuscany,103
50,2022-09-18,54,31,17,16,False,Tuscany,118
51,2022-09-25,51,28,16,15,False,Tuscany,110
