,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,43,23,8,5,False,Veneto,79
1,2021-10-10,45,22,8,5,False,Veneto,80
2,2021-10-17,44,23,8,5,False,Veneto,80
3,2021-10-24,47,23,7,7,False,Veneto,84
4,2021-10-31,49,23,7,5,False,Veneto,84
5,2021-11-07,57,25,7,5,False,Veneto,94
6,2021-11-14,50,23,7,7,False,Veneto,87
7,2021-11-21,55,25,8,6,False,Veneto,94
8,2021-11-28,57,26,9,6,False,Veneto,98
9,2021-12-05,62,29,10,8,False,Veneto,109
10,2021-12-12,67,31,12,10,False,Veneto,120
11,2021-12-19,100,39,16,13,False,Veneto,168
12,2021-12-26,63,27,9,8,False,Veneto,107
13,2022-01-02,53,29,7,5,False,Veneto,94
14,2022-01-09,51,26,7,4,False,Veneto,88
15,2022-01-16,44,25,7,5,False,Veneto,81
16,2022-01-23,45,24,8,6,False,Veneto,83
17,2022-01-30,47,27,7,8,False,Veneto,89
18,2022-02-06,44,26,8,6,False,Veneto,84
19,2022-02-13,48,27,8,5,False,Veneto,88
20,2022-02-20,40,23,8,6,False,Veneto,77
21,2022-02-27,43,22,7,9,False,Veneto,81
22,2022-03-06,40,24,7,5,False,Veneto,76
23,2022-03-13,39,22,8,7,False,Veneto,76
24,2022-03-20,39,23,8,5,False,Veneto,75
25,2022-03-27,38,24,8,5,False,Veneto,75
26,2022-04-03,42,25,8,6,False,Veneto,81
27,2022-04-10,41,25,9,7,False,Veneto,82
28,2022-04-17,39,24,8,6,False,Veneto,77
29,2022-04-24,37,25,9,5,False,Veneto,76
30,2022-05-01,38,26,10,6,False,Veneto,80
31,2022-05-08,36,26,10,7,False,Veneto,79
32,2022-05-15,42,24,11,6,False,Veneto,83
33,2022-05-22,37,22,10,7,False,Veneto,76
34,2022-05-29,40,25,12,6,False,Veneto,83
35,2022-06-05,38,23,10,6,False,Veneto,77
36,2022-06-12,35,24,11,7,False,Veneto,77
37,2022-06-19,38,25,12,6,False,Veneto,81
38,2022-06-26,38,28,16,6,False,Veneto,88
39,2022-07-03,34,28,13,6,False,Veneto,81
40,2022-07-10,34,27,13,7,False,Veneto,81
41,2022-07-17,33,24,12,5,False,Veneto,74
42,2022-07-24,38,27,11,5,False,Veneto,81
43,2022-07-31,36,26,12,6,False,Veneto,80
44,2022-08-07,39,25,14,7,False,Veneto,85
45,2022-08-14,38,26,13,7,False,Veneto,84
46,2022-08-21,44,28,12,15,False,Veneto,99
47,2022-08-28,39,25,10,6,False,Veneto,80
48,2022-09-04,41,25,9,6,False,Veneto,81
49,2022-09-11,39,23,8,5,False,Veneto,75
50,2022-09-18,45,24,9,6,False,Veneto,84
51,2022-09-25,45,23,10,7,False,Veneto,85
