,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,44,25,12,9,False,Jura,90
1,2021-10-10,44,24,11,8,False,Jura,87
2,2021-10-17,45,25,11,9,False,Jura,90
3,2021-10-24,49,27,14,13,False,Jura,103
4,2021-10-31,50,27,13,11,False,Jura,101
5,2021-11-07,57,30,12,11,False,Jura,110
6,2021-11-14,51,27,13,13,False,Jura,104
7,2021-11-21,57,28,15,12,False,Jura,112
8,2021-11-28,59,30,16,12,False,Jura,117
9,2021-12-05,63,32,16,14,False,Jura,125
10,2021-12-12,68,35,18,16,False,Jura,137
11,2021-12-19,100,46,23,20,False,Jura,189
12,2021-12-26,63,31,15,14,False,Jura,123
13,2022-01-02,54,32,13,11,False,Jura,110
14,2022-01-09,50,28,11,9,False,Jura,98
15,2022-01-16,44,27,11,10,False,Jura,92
16,2022-01-23,45,25,12,10,False,Jura,92
17,2022-01-30,47,28,11,11,False,Jura,97
18,2022-02-06,45,28,12,11,False,Jura,96
19,2022-02-13,50,31,13,10,False,Jura,104
20,2022-02-20,40,25,11,9,False,Jura,85
21,2022-02-27,42,23,10,11,False,Jura,86
22,2022-03-06,41,25,11,9,False,Jura,86
23,2022-03-13,39,23,11,11,False,Jura,84
24,2022-03-20,39,26,11,9,False,Jura,85
25,2022-03-27,41,26,11,9,False,Jura,87
26,2022-04-03,45,28,12,10,False,Jura,95
27,2022-04-10,42,28,14,11,False,Jura,95
28,2022-04-17,43,29,13,12,False,Jura,97
29,2022-04-24,38,26,12,9,False,Jura,85
30,2022-05-01,40,29,14,10,False,Jura,93
31,2022-05-08,37,27,14,11,False,Jura,89
32,2022-05-15,42,27,15,11,False,Jura,95
33,2022-05-22,38,24,14,11,False,Jura,87
34,2022-05-29,42,28,16,10,False,Jura,96
35,2022-06-05,38,26,13,10,False,Jura,87
36,2022-06-12,39,26,16,13,False,Jura,94
37,2022-06-19,40,28,16,12,False,Jura,96
38,2022-06-26,40,29,19,10,False,Jura,98
39,2022-07-03,37,30,16,10,False,Jura,93
40,2022-07-10,37,29,17,11,False,Jura,94
41,2022-07-17,35,25,16,9,False,Jura,85
42,2022-07-24,38,29,15,10,False,Jura,92
43,2022-07-31,39,27,16,10,False,Jura,92
44,2022-08-07,40,27,18,11,False,Jura,96
45,2022-08-14,39,28,16,10,False,Jura,93
46,2022-08-21,43,29,15,17,False,Jura,104
47,2022-08-28,40,27,13,9,False,Jura,89
48,2022-09-04,41,25,10,8,False,Jura,84
49,2022-09-11,41,26,12,10,False,Jura,89
50,2022-09-18,46,27,13,11,False,Jura,97
51,2022-09-25,47,26,14,12,False,Jura,99
0,2021-10-03,50,31,19,25,False,Bordeaux,125
1,2021-10-10,50,30,18,24,False,Bordeaux,122
2,2021-10-17,53,32,20,26,False,Bordeaux,131
3,2021-10-24,54,30,18,27,False,Bordeaux,129
4,2021-10-31,64,41,26,32,False,Bordeaux,163
5,2021-11-07,64,37,20,29,False,Bordeaux,150
6,2021-11-14,57,31,18,28,False,Bordeaux,134
7,2021-11-21,60,34,19,27,False,Bordeaux,140
8,2021-11-28,61,33,19,28,False,Bordeaux,141
9,2021-12-05,70,40,23,31,False,Bordeaux,164
10,2021-12-12,69,39,21,33,False,Bordeaux,162
11,2021-12-19,100,49,27,36,False,Bordeaux,212
12,2021-12-26,72,39,22,33,False,Bordeaux,166
13,2022-01-02,67,44,24,31,False,Bordeaux,166
14,2022-01-09,58,34,19,26,False,Bordeaux,137
15,2022-01-16,55,39,22,28,False,Bordeaux,144
16,2022-01-23,54,36,21,28,False,Bordeaux,139
17,2022-01-30,57,39,22,31,False,Bordeaux,149
18,2022-02-06,55,38,21,29,False,Bordeaux,143
19,2022-02-13,58,40,22,30,False,Bordeaux,150
20,2022-02-20,50,35,21,28,False,Bordeaux,134
21,2022-02-27,54,34,21,31,False,Bordeaux,140
22,2022-03-06,50,35,21,31,False,Bordeaux,137
23,2022-03-13,58,43,30,40,False,Bordeaux,171
24,2022-03-20,51,39,24,31,False,Bordeaux,145
25,2022-03-27,52,39,23,32,False,Bordeaux,146
26,2022-04-03,57,41,25,33,False,Bordeaux,156
27,2022-04-10,54,39,25,33,False,Bordeaux,151
28,2022-04-17,57,43,28,36,False,Bordeaux,164
29,2022-04-24,50,41,24,32,False,Bordeaux,147
30,2022-05-01,52,39,25,32,False,Bordeaux,148
31,2022-05-08,50,42,28,35,False,Bordeaux,155
32,2022-05-15,58,41,29,36,False,Bordeaux,164
33,2022-05-22,52,39,28,35,False,Bordeaux,154
34,2022-05-29,56,42,28,35,False,Bordeaux,161
35,2022-06-05,55,42,29,38,False,Bordeaux,164
36,2022-06-12,59,49,37,45,False,Bordeaux,190
37,2022-06-19,55,43,31,39,False,Bordeaux,168
38,2022-06-26,55,46,36,36,False,Bordeaux,173
39,2022-07-03,52,44,31,36,False,Bordeaux,163
40,2022-07-10,56,48,36,44,False,Bordeaux,184
41,2022-07-17,59,49,38,46,False,Bordeaux,192
42,2022-07-24,56,47,31,39,False,Bordeaux,173
43,2022-07-31,55,43,31,39,False,Bordeaux,168
44,2022-08-07,61,48,39,48,False,Bordeaux,196
45,2022-08-14,54,43,31,38,False,Bordeaux,166
46,2022-08-21,59,45,31,45,False,Bordeaux,180
47,2022-08-28,54,42,29,38,False,Bordeaux,163
48,2022-09-04,54,40,25,35,False,Bordeaux,154
49,2022-09-11,54,39,25,32,False,Bordeaux,150
50,2022-09-18,57,37,23,33,False,Bordeaux,150
51,2022-09-25,58,39,26,36,False,Bordeaux,159
0,2021-10-03,43,23,7,4,False,Castilla_y_Léon,77
