,user,red_wine,white_wine,sparkling_wine,rose_wine,content
0,moonlight_somo,1,0,0,0,@Kusum_baheti4 Red wine 🍷
1,dontask53,1,0,0,0,"@sydsdad77 @archdelux1 @EldaUribe64 @KamVTV Says the guy taking a selfie drinking red wine. Pinky out, you’re obviously above everyone in your own mind. 🤡"
2,ReikaMea,1,0,0,0,"with your crystals or sleeping with them under your pillow. 

symbols: cartwheel, bounce house, red wine, earth and water sign connections, 272, 444, 7, 18, the month of May 

can be applied to venus, sun, moon, and ascendant"
3,GaryOtto0,1,0,0,0,"I wasn’t kidding about living off of stews recently. This is todays stew, which started at 9am to be ready at 8pm. With beef, carrots, onions, potatoes, a base of campbells tomato &amp; cream of mushroom soup, spike brand seasoning, a Budweiser 8oz, and red wine vinegar. https://t.co/GByT5qMiRi"
4,knightys,1,0,0,0,@PughMartinrpugh Missed the pancetta. Went red wine and dark chocolate.
5,oreayodele_,1,0,0,0,@f8the @nutonjack Bottle of bourbon. Couple cigars. Mini cologne. A masculine scented candle. Red wine. A nice tie. A cool hat. Some delicious unique ground coffee. Some baked cookies. A pie. Delicious food. A basket of fruit. Anything thoughtful.
6,cimbalyn,0,0,0,0,Lovely Red Rose Wine Label https://t.co/Hi7fLZEOoK via @zazzle
7,FKDFlashSales,1,0,0,0,"Red Wine Decanter with Aerator for $27.46, over 50% off!        
 
https://t.co/tyzo1bJy9E https://t.co/Bk5lvUdlhN"
8,Reifwinery,0,0,0,0,"Today is the final day of our annual Red Sale!

Get in on great savings on all of your favourite reds!

This sale only comes around once a year, so stock up while you can!

Stop by the Wine Boutique or shop online here: https://t.co/Cs04FTa69q https://t.co/IngF7mAlIX"
9,DiegoAgoytia,0,0,0,0,"It's about that time again where I announce the release of a new album 😂😎🤩

I've been working on this one for about two years since the release of ""Wine Red"" on November 30th, 2021. I've been working with my producer Mario Gil since then releasing singles and videos. https://t.co/cKal4fpREy"
10,MaryMamms,1,1,0,0,"You drink white wine with fish and red wine with steak, right? Sommelier @WineHobbyist says the rules of wine pairing aren't etched in stone, you CAN be adventurous!
@AMIaudio @AccessibleMedia 
https://t.co/y5SkNEhrEt"
11,CrowfieldGolf,1,0,0,0,"🍽 Chef Matt has a terrific weekly special for you this week: Chicken Marsala with red wine mushroom sauce, served with long grain wild rice &amp; lemon broccolini for $13.95. Soup specials are Homemade Vegetable Beef or Tomato Basil Bisque -- $4/cup &amp; $7/bowl. 
#creekeats"
12,JosephCasoni,1,0,0,0,@SEP No more rooftop red wine on tap for you boohoo
13,FlameBoyLit,1,0,0,0,"@sara_carrion_ grilled fish and tomato salad with olive oil, apple vinegar, red wine vinegar, red onions, dash of lemon and salt"
14,horseandhoof,1,0,0,0,"Red Wine Braised Short Ribs recipe #horseandhoof

https://t.co/P6IWMlM3pj https://t.co/hdGe7wMBVu"
15,taeggukis7,1,0,0,0,"Taken aback by the piece of information, Jimin revealed, he sits back on his throne, taking a glass of red wine for him and his knight."
16,HooperJasmine00,0,0,0,0,"What's your favorite wine?

Uhhhhh ... merlot for red, dry. For white, a zinfandel/blush. 

Winery?"
17,sibuckphoto,0,0,0,0,"Everything is red @FlintVineyard 

Putting the @leica_camera #leicaSL2 through it’s paces in a messy industrial environment and it didn’t miss a beat.

#wine #winelover #winemaking #englishwine #food #foodphotographer #winephotography #grapes #drink #leica https://t.co/0zTnXBsKTP"
18,SOXWILLSUXIN23,0,0,0,0,She still struggles with the difference between red and white wine!#FutureBartender https://t.co/QmUXIP8EkX
19,JohnCoy75,1,0,0,0,"@briangr0254 I suggest everyone looks up
@undglobalchange 
Net Zero and Climate Change will bankrupt the world!
Sunak and his fellow followers of  WEF are perfectly aware of this, when we are all eating Insects and grass they will have achieved their goal.
Steak and Red wine for them!!!"
20,iam_siyafierce,1,0,0,0,Red Wine weather 😍
21,RajasthaniDress,0,0,0,0,Men's Short Kurta Indian Ethnic Top cotton flex soft fabric 100 % Cotton Wine Red Color. https://t.co/G0S4RDTPrI via @Etsy
22,Breda_Murphy,0,1,0,0,"Fish pie with Salmon &amp; haddock poached in white wine with prawns, creamy fish velouté with buttery mashed potato &amp; Beef bourguignon with best stewing steak braised in red wine,rich jus with onions, bacon &amp; mushrooms  #readymeals #homedelivery #bredamurphy https://t.co/5pCCt5h9ZJ"
23,glassofcoups,1,0,0,0,@nakahashiii red wine lah :*
24,marthaliving,0,0,0,0,"Sadly, your pre-bed glass of red is a habit to break. https://t.co/pWVqOPCMPP"
25,LanceVincent57,1,0,0,0,@silentkil_er A good glass of red wine 🍷
26,RecsReading,1,0,0,0,"Every day is a treat yourself day! 
Grab The Guest List, under a tree in early autumn, with a nice glass of red wine."
27,SteveHowrie,1,0,0,0,"@davidmcwriter Drink red wine... always works for me. Or other times (if I don't have to work the next day), I do something creative, or just hit the Twitter key."
28,zteinz,1,0,0,0,"with all due respect, i’m never touching red wine again."
29,duttonsMCR,0,0,0,0,"WINE NOT?
Join us at Duttons every Wednesday for Wine Wednesday! Get a bottle of wine for the price of 2 large glasses 
Whether you’re looking for red, white, or rosé, we have options for all! https://t.co/b4vCGWM88b"
30,izag82161,1,0,0,0,I enjoy drinking red wine at home https://t.co/8QNEvnzFaI
31,Maurice12042998,0,0,0,0,Women make a slag from now on no longer hold who hand red light green wine.
32,leuschkecea,1,0,0,0,"Feishibang Red Wine Wool Billiard Cloth - Pool Table Felt for 6,7,8 or 9 Foot WQPI4SP

https://t.co/uS2AIXIMjY"
33,SHADI_____,1,0,0,0,Dry red wine after span would slap
34,TheBethsLyrics,1,0,0,0,"and your voice it makes me weak
i'm wasted when you speak
you hit me hard as red wine"
35,poepartybot,0,0,0,0,"(The doorbell is heard again, and Edgar opens the door to a smug Charlotte Brontë holding a bottle of red wine.)"
36,price_drop_IN,1,0,0,0,"https://t.co/WDPhXtcWkj

Lakmé Cushion Matte Lipstick, Red Wine, 4.5 g (Matte)

Pay only ₹170.00"
37,cafemeridian55,1,0,0,0,"Celebrate today with a Pork Tenderloin!
Pork tenderloin with red wine mushroom sauce served over mashed potatoes with one side. https://t.co/LeGWZlciXI"
38,rossieviren,0,0,0,0,Genuine Crocodile Belly Leather Backpack Wine Red https://t.co/in70FE4MOv https://t.co/fOIEqjsTpj
39,thoughtlarries,1,0,0,0,Also remember when we saw the red wine and the gingerale backstage at Louis’ show https://t.co/IyOvk2VNjc
40,renzot1954,1,0,0,0,@Heidi521 Red wine next time? https://t.co/dEGLn0xohv
41,DucksNFLBuzz,1,0,0,0,"@noirgal17 I'm a bit late but mine was tasty chicken &amp; rice, washed down with red wine.  Dan Duryea would approve! 👍🏽 The Astros didn't help my digestion much. 😥"
42,nakahashiii,1,0,0,0,should i go with red wine or nude pink ombre lippie?
43,nicktompan,1,0,0,0,"Red Wine, the Microbiome &amp; Your Health | Nature's Real Health https://t.co/PiSzyflX5D"
44,Lu2dGames,1,0,0,0,"@PatrickDubuc Beautiful.  This year I did a monastic red wine, a standard rum marmalade and a blackberry and elderberry jam.

We don't get sections for many food things unless they're victoria sponge or scones. :("
45,Fancygirlnyc,1,0,0,0,"Excited to share this item from my #etsy shop: Green, Red, Wine, Beige White, Blush, Ivory, Taupe, Purple Flower Hair Clips, Custom Wedding Bridal Flower Hair Clips, Custom https://t.co/5bp1vuv5zl https://t.co/ZlruJjJdHH"
46,_Dracule_Mihawk,1,0,0,0,Drinks fav Dracule Mihawk that red wine ( Anggur Merah )
47,Guy_in_Denver,1,0,0,0,"@FoxNews How cool. Red wine makes me feel depressed, so maybe I have similar issues."
48,leevnaxe,1,0,0,0,I drink sauvignon blanc and red wine which brand i forgot. Both smells like beer ( obvious lah sial sebab yeast) tapi sauvignon blanc tu ada fruity smell . Aku nak yang manis tapi ada yang dry je . Tapi tkpe lah free an
49,nicktompan,0,0,0,0,Our Oral Microbiome Is Unraveling Long-Held Dental Dogma | Nature's Real Health https://t.co/cIrtQHoXvV
50,nicktompan,0,0,0,0,Red Wine: A Tonic or a Poison for Your Health? | Nature's Real Health https://t.co/7swx6VHYGd
51,landareigns,1,0,0,0,the situation today screams red wine and romcoms 😭
52,AngelGarciaHe14,1,0,0,0,"@MacLiv Metronidazole 21, amoxicillin 21,I miss my red wine 🍷."
53,BalbirnieHouse,1,0,0,0,"Great combinations? 
Cream, red wine, honey and Dijon mustard! 👍"
54,MasterOfMalt,1,0,0,0,"Congratulations to @cocktail_caz on Instagram, #WhiskySanta has granted their wish so we're sending them a Faustino Rioja Red Wine Experience Gift Pack! 🥃🎅 https://t.co/tUmDbH9Cxh"
55,misscecil,1,0,0,0,@illusClaire Such sadness and now I smell like red wine on the train. Will surely be the cause of my train car being drunk
56,dekorracje,1,0,0,0,"Red Wine Velvet, Creme, Gold Metallic, Suitable for Curtains, Drapes, Bedspreads, Pillows High Quality width 112""/ 280cm, Fabric by the yard
 autor DomoweDekorracje https://t.co/uzA7YynOqg via @Etsy"
57,The_Brahms,1,0,0,0,@godwins_wakeup @JessicaFortne17 @JRubinBlogger There's only so much worldly knowledge a box of Trader Joe's red wine can dispense.
58,cristina_gw,0,0,0,0,"@marcportermagee I can tell you that a lot of my Latino friends and family have become very disenfranchised with the party becoming more about “red, wine, and blue” suburban, white women. The “people’s party” isn’t feeling like that to the people it’s supposed to, and that is a huge prob."
59,atmAd,1,0,0,0,We've got a few new campaigns going live this week! First up is @LVMH with a fab on-screen creative setting the perfect scene to showcase their Terrazas red wine. This is also a fantastic example of just how impactful a live footage ad can be too! https://t.co/wfydJb3Sc0
60,TheSunFootball,1,0,0,0,"""Home with a red wine is the best way to watch"" 😂

Pep Guardiola's plans for the World Cup sound delightful https://t.co/iYSjjEav8N"
61,Algorithm_88,1,0,0,0,@barakah_bello Red wine
62,BishopsCellar,0,0,0,0,"Wine Wednesday is back to save you money and stock your wine rack. On special this week:

📦 By The Case: Red Variety 6pk
🍷 By the Bottle: The Crusher Petite Sirah, Villa San Martino Pinot Grigio, Monsieur N P'Ti Blanc + Nova Ona Rose

https://t.co/aq3KX8VQj5 https://t.co/AAv6PBXqAs"
63,GoBrazilWines,0,0,0,0,"Celebrating Bonfire Night this week? Whether you’re stepping outside or just planning a quiet night in, nothing better to see you through the winter months than a warming Brazilian red wine!

Browse our full range now - https://t.co/TASAidQdpW https://t.co/w8AwsOA3vC"
64,hummingcage,0,0,0,0,"It’s Wine Wednesday,pair your meals with your favorite wine,red or white ,you choose
A glass at Sh 200,a bottle from sh 1200

📍eNKei Annex ,Next to KCB Ngara,Ngara RD https://t.co/CAkyl5jyzr"
65,esquireattire,0,0,0,0,https://t.co/impKylpeHt Metrokane Rabbit Red #wine Aerating Pourer #Aerato https://t.co/UtvDPajtnZ
66,SNLinReview,1,0,0,0,Conan O'Brien once went into Tom Davis' SNL office and saw him drinking red wine at 1pm on a Wednesday - he was shocked!
67,jameswdelano,1,0,0,0,"@userX @MollyJongFast I like a little red wine on rare occasion, with pasta. Simple as that.

That's a good line to remember.  Once, in Inner Mongolia,中国 at a big dinner with gov't types, they wanted people to chug of maotai &amp; tip glasses upside down to prove them empty. I complied with tomato juice"
68,TomECaster,1,0,0,0,@WriterCraigWolf @ZaleskiLuke @elonmusk I guess it’s a good thing he did the smart business move trimming the workforce of needless positions and extravagant salaries. Wonder if The Perch is still open? Think they still have that free red wine on tap?
69,SergiosW1,1,0,0,0,"TODAY’S CHEFS SPECIAL 
MAIN COURSE!

Succulent Osso-Buco in a rich red wine gravy served on a bed of wilted spinach and creamy mashed potatoes.

A delicious #humpday treat.

#toprated #italianrestaurant #italianfood #fitzrovia #london #dailyspecials #londondining #businesslunch https://t.co/tPIaEoOHwA"
70,renlyrbot,1,0,0,0,"You read my mind when you came by 
 You hurt my head like cheap red wine"
71,MissNdika,1,0,0,0,I wish I had a glass of red wine next to me while working
72,Sarah12930,1,0,0,0,Mia is a  family therapist that likes Pickled cucumber on their onions pizza with red wine
73,treasureshop4u,1,0,0,0,Check out what I'm selling: Lori Siebert For Silvestri Red Wine And Cheese Fused Glass Trinket Dish Bowl: Get up to $30 off* when you use my code CMEBPG to sign up for Mercari. *Terms apply #mercari https://t.co/scmvjoutrb
74,PretoriaProudly,0,0,0,0,"I take a walk around my yard watching the beautiful view of soshanguve from Block M,LKK,,VV,WW,XX,F, especially in the evenings.I drink my red wine,playing reggae love songs,watch cricket matches while Lungisani Ngidi breaking partnerships🥂 https://t.co/q7ktdQNc80"
75,BWinelove,0,0,0,0,This delicious wine is Brigaldara’s entry-level Valpolicella and is one of the top northern Italian red values you’… https://t.co/qLXJnJEwqz https://t.co/9jEMSdrnQp
76,AkronTim,1,0,0,0,Far Right vs Far Left. Ohio Value Voters email blast Oct 31“Tim Miller is a misguided individual that should not serve in this position” Red Wine &amp; Blue Facebook post w/ my picture Oct 31 ”Stand up for our kids–say NO to extremists on our school board” #TheKidsCandidate
77,BLRM1632,0,0,0,0,"@Karenh000104 @GreyMat14248829 @unscriptedmike I wonder why Trump-haters and red lovers think it’s ok for them to embellish, change, slant or bash any one they want to, but when the shoe is on the other foot, they wine like the bunch of babies they are. (true colors coming out?) It’s about time for you to see how it feels!"
78,ItsMeNicGee,2,0,0,0,"@stanzipotenza I had some of the sweetest customers at my pharmacy tech job &amp; one of them brought me a bottle of her favorite red wine before I left. I wasn’t really a fan of red wine, but I tried it anyway &amp; it was fantastic. It’s now my favorite red too &amp; I think of Jean whenever I have it."
79,Fancygirlnyc,1,0,0,0,"Excited to share this item from my #etsy shop: Burgundy Clip, Red Wine Hair clip, Bordeaux Flower Hair piece, Dark Burgundy Mini Fascinator, Bridal Flowers Clip, Fall Wedding Fascinator https://t.co/0FpA0nj6Tj https://t.co/v09Tz4gFlc"
80,NorthAges,0,0,0,0,"Praise for Pictish ale can be found in the 10thC Irish text Scéla Cano meic Gartnáin, ‘The Stories of Cano mac Gartnáin’. A poem claims that Circin, which included the likes of the Mearns, Strathmore and Gowrie, boasted ‘red ales like wine’. https://t.co/sWQlaXiNC9"
81,DrostdyHofSA,1,0,0,0,"@_Tshenolo Well, you should try our Drostdy Hof Natural sweet Red wine. We're sure you'll enjoy it. 🍷"
82,rotimismith1st,1,0,0,0,"@ego_odion @nathan_oji Red wine o🍷 
What about people drinking vodka or tequila? 
Make he getat 😂"
83,Dav591384,1,0,0,0,Red red wine #TLMVPSP
84,Psyawtix,1,0,0,0,"Anyway, red wine for the winter. Because tannic acid and histamines. Fixed my cold ass right up."
85,Pchoward2,1,0,0,0,"@RRenn25 Poke holes insert whole garlic cloves, salt, pepper (I use Cayenne), let it sit in fridge overnight, cook it like you would do a roast, while cooking and add a little bit of red wine to give it more flavor"
86,PlaysEdgey,1,1,0,0,"@JasonGancedo Red Wine, White Wine, Sherry, Rice, Apple Cider… and straight up clear so six here."
87,Fancygirlnyc,1,0,0,0,"Excited to share this item from my #etsy shop: Burgundy Clip, Red Wine Hair clip, Bordeaux Flower Hair piece, Dark Burgundy Mini Fascinator, Bridal Flowers Clip, Fall Wedding Fascinator https://t.co/0FpA0nj6Tj https://t.co/Tj43QURQNX"
88,Trattoria33C,1,0,0,0,"Our restaurant signature is Creamy Burrata Cheese from Italy! 
Wood fired Italy Napole style Pizza!
Home made unique pasta!
Red wine sauce Beef steak!"
89,GadheKahiKe,0,0,0,0,"High Heel Shoes | Lipstick | Glass Wine | Diamonds T-Shirts,Fashion High Heel Tee,Womans Red Gold Birthday, red shoes and lipstick by @plusminusco1
 #RedShoes #Birthday #wine #Lipstick #HeelTeewomans #HeelShoes #PlusMinusCo #EtsySeller

👉https://t.co/jeaVsy1jyB https://t.co/pSieq1TPQh"
90,GWCampbell4,1,0,0,0,@il0venostalgia As a boomer and an Italian American we were given a little red wine as kids!  The boomer Irish were the ones  chugging the beer!
91,RDTVF,0,0,0,0,MARTIN #LiveOnAir  🎶🎵 Lacrimorta 🇺🇸  Nocturnal Lucidity (Black Roses and Blood for Red Wine) 📡  🌎🌍🌏 EP 📀 #MUSIC  #rtitbot  Lacrimorta  @Lacrimorta             RDT supports #Artists around the #WORLD     Visit https://t.co/w5JbPjBmpw
92,LumiLierin,1,0,0,0,Forgot to mention that Gaius is cooking Glory Be Soup for dinner ❤️ Hence the red wine is an important ingredient~ (OwO)
93,Knowadayslearn,0,0,0,0,"The phrases ""bad big wolf,"" ""black little dress,"" and ""red dry wine"" sound wrong—but why? Our recent blog post goes into detail on #adjective #order, the English rule you didn't know you knew!

Learn more: https://t.co/lNsoqa8PlJ https://t.co/pbVqo0OVIb"
94,Momentious1,0,1,0,0,@mohale_motaung Red I prefer it not cold but for white wine I need it to be so cold 😋
95,BCrowe40765630,1,0,0,0,A small glass of red wine every night is the only regular drinking I do. At certain times I love to drink a beer. Scotch I like but not frequently. Government and CNN please stay away from me.
96,ShreyaShah22,0,0,0,0,"🔸Antioxidants 
The fruit is a rich source of beneficial antioxidants. It has antiviral and anti-tumour properties. It is rich in Vitamin A, Vitamin C, Vitamin E and even folic acid.

Pomegranates have almost 3 times the antioxidants of green tea&amp;red wine."
