,user,red_wine,white_wine,sparkling_wine,rose_wine,content
0,dansmagpiegifts,0,0,0,0,"Our Personalised Runs On Wine &amp; Christmas Cheer Wine Glass is a must have for anyone who likes to relax and unwind with their favourite red, white or rose at Christmas time
https://t.co/0SsxxFWOg0
#Christmas #personalisedgifts #winelover"
1,kathygpr,0,0,0,0,"If you love democracy just as much as a delicious rosé now's your time to shine!

Meet @briantylercohen's Codify Roe-sé – all profits go to @FieldTeam_6 and their mission to #RegisterDemocrats!

More wine, less whine!

#RoevemberIsComing #Voterizer  https://t.co/8uZVkzpwcx"
2,kathygpr,0,0,0,0,"If you love democracy just as much as a delicious rosé it's your time to shine!

Meet @briantylercohen's Codify Roe-sé – all profits go to @FieldTeam_6 and their mission to #RegisterDemocrats!

Wine don't whine

#RoevemberIsComing #Voterizer  https://t.co/OqIQ4tb4pW"
3,Friscokid49,1,0,0,0,"@Constan70997526 @Primo_Levi @SteveKubota @SeacatGardens @dallaswinechick @RussellVine1981 @DivaVinophile @CoastCabCritic @sonomawineguy @SonomaNapaMarin @joukesp @amylieberfarb Living in Texas, it is hot in the summer months. Way to hot for a red wine when 97-F! So we drink a lot of white &amp; Rosé, and Pinot Noir…EXCEPT when grilling a steak. I’ve got to have a BDX, Napa Cab. 

But my favorite white is Burgundy Blanc! Chablis, Chassagne-Montrachet etc"
4,diarybeautygeek,0,0,0,0,"✨Ooh Aldi Wine Advent Calendar 2022✨
Shop--&gt;https://t.co/7V2KZ7sXkX
Costs £59.99 
Discover mini bottles of red, white and rosé hidden behind each door.
16 x 18.7cl bottles
8 x 20 cl bottles

aff/ad #wineadventcalendar #adventcalendar #unboxing"
5,LolaaaMon_ROSE,0,0,0,0,"I got a bottle of wine in the fridge, might open it tonight since it’s been a good day"
6,piNkiee__,0,0,0,0,"I literally turn my ME time into my bath time every night - candies lit, rose petals &amp; bubbles in the water, exfoliating gloves &amp; body scrub in hand, of course a glass of something (it was wine last night 🍷) and of course something to smoke 💨"
7,megstheFoKer,0,0,0,0,"#SecretSantaNZ2022 clues for whoever is my secret Santa. 
Love a good Rosè wine. Sloth and penguins are my favorite animals.
More clues to come"
8,BenFranksWine,0,0,0,0,"Jessica Summer: Is Barrel fermented rosé from Provence an innovation, or a step too far? Read Jessica's latest piece for BFW here 👇
https://t.co/Chcc5PpZ3r https://t.co/TYYT4McqP0"
9,duplinwinery,0,0,0,0,As we've said before - YOU GET A BOGO AND YOU GET A BOGO! Don't miss this Pum'kin Wine sale **in-store only at Rose Hill &amp; North Myrtle Beach** Stop by today! https://t.co/nMYHaLxxD5
