,user,red_wine,white_wine,sparkling_wine,rose_wine,content
0,belle__sol,0,1,0,0,@LH_exe @S0Ltoshi we'll see mr. 1 glass of white wine
1,kindagoldrush,0,1,0,0,I hope the venue i go to serves white wine cause I’ll be getting TIPSY 😁
2,rli22,0,1,0,0,@ZJAyres :( I once dipped the paintbrush in white wine at one of those pottery painting party places - thankfully I'd already drunk most of it!
3,MaryMamms,1,1,0,0,"You drink white wine with fish and red wine with steak, right? Sommelier @WineHobbyist says the rules of wine pairing aren't etched in stone, you CAN be adventurous!
@AMIaudio @AccessibleMedia 
https://t.co/y5SkNEhrEt"
4,pattleggs,0,0,0,0,"@mrmarkdolan By far the worst human being on earth are white, self loathing, wine soaked, miserable suburban housewives and their emasculated husbands 💯🐑☠️!!! #FF https://t.co/Nqoinv7t6s"
5,Tbonerock1,0,0,0,0,"@JohnnyProfit @MSNBC I believe it is the democrats who's in charge and the united states and we are in bad trouble. Joy Reid hates white people she's a racist. If white people said the same things she does black's would wine
and cry hate speach.
Joy reid hates white people.
 MSNBC is a racist station"
6,queenkv,0,1,0,0,"#kvpinmybelly Flashback to dinner at @wren.and.wolf before a show. 

🦞 Lobster ragù with taglierini, white wine, and garlic. Slice of @noblebread sits at the bottom of the bowl, soaking up the sauce.

🎣 Chilean sea bass, with fennel, capers, olives, … https://t.co/CRqPIdGt4t https://t.co/g85Ry4epll"
7,HooperJasmine00,0,0,0,0,"What's your favorite wine?

Uhhhhh ... merlot for red, dry. For white, a zinfandel/blush. 

Winery?"
8,msglamcoral500,0,0,0,0,@SilverstoneUK @LewisHamilton ....I'll have a dry white wine....what's your tipple @LewisHamilton 😊 #MyShout ❤
9,SOXWILLSUXIN23,0,0,0,0,She still struggles with the difference between red and white wine!#FutureBartender https://t.co/QmUXIP8EkX
10,believe1nmagic,0,0,0,0,Me but with white wine: https://t.co/IamJpoHfhi
11,ZhangHanaa,0,0,0,0,"Glass Bottle Vodka Gin Rum Alcohol Whiskey Bottle White Flint 100ml 180ml 300ml Liquor Bottles

#500ml #700ml  #750ml #1000ml 
#liquorglassbottle #wine #Vodka #tequila #gin #brandy
#glassbottle  #glass  #bottle
#bottlesupplier #bottlecustomization #glass
#bottlemanufacturer https://t.co/OBlBxkHNCO"
12,Breda_Murphy,0,1,0,0,"Fish pie with Salmon &amp; haddock poached in white wine with prawns, creamy fish velouté with buttery mashed potato &amp; Beef bourguignon with best stewing steak braised in red wine,rich jus with onions, bacon &amp; mushrooms  #readymeals #homedelivery #bredamurphy https://t.co/5pCCt5h9ZJ"
13,AlloyBrewingCo,0,1,0,0,"Stop in today to sample our Brewer's Choice: 'Doreen Gose Brewing' - 10 oz tulips are just $5!

This one was designed by Beertender Doreen as a Barrel Aged Blackberry Gose that was aged for 6 months in white wine barrels.

Plus: @PizzaKarmaMN joins us from 5-8pm https://t.co/UuBEi1KBTS"
14,duttonsMCR,0,0,0,0,"WINE NOT?
Join us at Duttons every Wednesday for Wine Wednesday! Get a bottle of wine for the price of 2 large glasses 
Whether you’re looking for red, white, or rosé, we have options for all! https://t.co/b4vCGWM88b"
15,04prodigy,0,0,0,0,@_Florencx Perfect with a cold glass of white wine.👌🏾
16,poetrycoveradio,0,1,0,0,#NowPlaying Sophie Scarlette - White Wine
17,PiersBaker,0,1,0,0,"Overhearing ‘can I have two glasses of white wine, either French or Italian….not Australian.’ 

Better not tell them where I’m heading tonight @MatthewSJukes"
18,cafemeridian55,0,1,0,0,"Every little Gato's favorite, Tuscan Shrimp!😺
Celebrate Day of the Dead with Shrimp in a creamy garlic and white wine sauce with Spinach, Mushrooms, and Sun-dried Tomatoes with two sides https://t.co/zjbMIikaqc"
19,TransLicorice,0,1,0,0,"Kanye west? Nah. Kimya dawson.
AND THE BEER I HAD FOR BREAKFAST WAS A BOX OF CHEEP WHITE WINE"
20,NdileMthiyane,0,0,0,0,"Got a wine stain on my white t-shirt on Saturday night…

Mom on Sunday: sis’washile iskibha sakho esithelwe uBeetroot 

Me: https://t.co/7QemwOUb0T"
21,BinEndsWine,0,1,0,0,"Save 60%, just $6 per bottle for this über satisfying white wine from Abruzzo! #buythecase #curbsidepickup https://t.co/9gd6cF5bYh https://t.co/cW7BzJ2cLE"
22,eprnetwork,0,1,0,0,Global Market For White Wine Surpassed A Market Value Of US$ 37 Billion By 2022 - https://t.co/mGTxCFZW6v
23,Fancygirlnyc,1,0,0,0,"Excited to share this item from my #etsy shop: Green, Red, Wine, Beige White, Blush, Ivory, Taupe, Purple Flower Hair Clips, Custom Wedding Bridal Flower Hair Clips, Custom https://t.co/5bp1vuv5zl https://t.co/ZlruJjJdHH"
24,NapaWineTaste,0,1,0,0,"Regardless of the constantly changing wine trends in the United States, chardonnay remains the most popular white wine in the country and the most-planted white grape variety in California. While https://t.co/Hp01ovXc82"
25,jessyGloria10,0,2,0,0,"I'm really not interested in Food if it's a Restaurant meet point for the Date, A bottle of Chilled white wine is enough
I love me white wine plenty"
26,cristina_gw,0,0,0,0,"@marcportermagee I can tell you that a lot of my Latino friends and family have become very disenfranchised with the party becoming more about “red, wine, and blue” suburban, white women. The “people’s party” isn’t feeling like that to the people it’s supposed to, and that is a huge prob."
27,massumeh18,0,0,0,0,"@sparkle6193920 Silly, you sound like one of my aunts who’d joke about her teeth from her wine making a joke 🤣😂 Yours are perfect - and perfectly white teeth haha 💋💋💋"
28,MrRavoon,0,1,0,0,@KathrynGray @GarethPrior @thatmattjarvis @delythjewell I wonder if the presence of @GarethPrior means that - for first time in history - literature events are accompanied by decent white wine...
29,VillaggioTyler,0,1,0,0,"Wine Down Wednesday is a great opportunity to try the finest from Italian vineyards. Poggia Anima Gabriel is a white wine made from Pecorino grapes in Abruzzo, central Italy. A light floral with accents of lemongrass and yellow apple, Gabriel is medium-bodied and delicious. https://t.co/mKo4f7oX4u"
30,White__Dove,0,0,0,0,"@Morrisons I'm having difficulty in understanding my till receipt in particular the ""MyMorrisons Save"" lines and a bottle of wine I bought which was supposed to be included in a discount?"
31,hummingcage,0,0,0,0,"It’s Wine Wednesday,pair your meals with your favorite wine,red or white ,you choose
A glass at Sh 200,a bottle from sh 1200

📍eNKei Annex ,Next to KCB Ngara,Ngara RD https://t.co/CAkyl5jyzr"
32,williampahl,0,0,0,0,@NPR Another in your endless stream of fluffy articles designed to make white upper middle class wine moms feel hip and diverse.
33,aqtent_,0,0,0,0,- @FrenchTheKid1’s new tune “White Wine” is a wavy bop! 🔥 https://t.co/5wH8wjYfWn
34,thinwhitelies11,0,1,0,0,"...and 10 times miles on hotels through Capital One Travel. I am now! Plus get access to over thirteen hundred airport lounges... White wine, please ...and maybe see the one-and-only Taylor Swift. Capital One. What's in your wallet?"
